OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,HISTO_0,HISTO_1,HISTO_2,HISTO_3,Water_1,Water_2,Water_3,LC_1,LC_2,LC_4,LC_5,LC_6,LC_7,LC_8,LC_9,LC_10,LC_11,LC_12,LC_13,LC_14,LC_16,LC_17,NL_mean,NL_median,NDVI_mean,NDVI_median,NDBI_mean,NDBI_median,Water_SUM,Seasonal_Ratio,Permanent_Ratio,LC_SUM,LC_1_ratio,LC_2_ratio,LC_4_ratio,LC_5_ratio,LC_6_ratio,LC_7_ratio,LC_8_ratio,LC_9_ratio,LC_10_ratio,LC_11_ratio,LC_12_ratio,LC_13_ratio,LC_14_ratio,LC_16_ratio,LC_17_ratio,Year,NDBI_median_t_minus_1,NDBI_mean_t_minus_1,NL_mean_t_minus_1,NL_median_t_minus_1,NDVI_mean_t_minus_1,NDVI_median_t_minus_1,Water_SUM_t_minus_1,Water_SUM_t_minus_2
6,21,ORISSA,8,BALESHWAR,40,NILGIRI,6,BALASORE,2106,,1.61583712239,0.06548531185,896004,1762,3765,120,1300,3880,120,0,214,352,221,0,0,231,9,18,1,2162,0,36,0,0,0.604774849696292,0.490223526954651,0.326066170123586,0.302617102861404,-0.0435018234022682,-0.0280287954956293,5300,0.7320754716981132,0.0226415094339622,3244,0.0,0.0659679408138101,0.1085080147965474,0.0681257706535141,0.0,0.0,0.0712083847102342,0.002774352651048,0.0055487053020961,0.000308261405672,0.6664611590628853,0.0,0.0110974106041923,0.0,0.0,2016,-0.0495791882276535,-0.0648254351013697,0.6166671450882231,0.5045814961194994,0.342055000277007,0.323880642652512,34887,599285
1,21,ORISSA,1,BARGARH  *,4,ATTABIRA (SC),1,BARGARH,2101,,1.72757378811,0.08799553665,1088096,11310,25937,86247,9038,27211,86716,0,0,197,12,0,0,8,31,315,58,3427,0,6,9,293,0.72146250112633,0.595494389533997,0.321351148946132,0.351249903440475,-0.210828570092199,-0.250073567032814,122965,0.2212906111495141,0.7052087992518197,4356,0.0,0.0,0.0452249770431588,0.0027548209366391,0.0,0.0,0.0018365472910927,0.0071166207529843,0.0723140495867768,0.0133149678604224,0.7867309458218549,0.0,0.0013774104683195,0.0020661157024793,0.0672635445362718,2016,-0.270688280463219,-0.219360785069115,0.7289789124418645,0.606411010026932,0.312014531524964,0.335435420274734,31827,1155342
4,21,ORISSA,6,KENDUJHAR,22,ANANDAPUR (SC),4,KEONJHAR (ST),2104,,2.14064568603,0.06964829995,881603,18211,38098,21080,20675,51251,3730,0,2,138,320,0,0,324,54,89,0,2246,0,166,0,114,0.517134514180253,0.417991816997528,0.320724196944882,0.31946088373661,-0.011290117347914,0.0207017213106155,75656,0.6774214867294068,0.0493021042613936,3453,0.0,0.0005792064871126,0.0399652476107732,0.0926730379380249,0.0,0.0,0.0938314509122502,0.0156385751520417,0.0257746886765131,0.0,0.6504488850275123,0.0,0.0480741384303504,0.0,0.0330147697654213,2016,-0.0031405482441186,-0.0301402932922543,0.5270621060367879,0.4408757388591765,0.315429792751457,0.31235408782959,15590,1182358
3,21,ORISSA,3,SAMBALPUR,17,SAMBALPUR,3,SAMBALPUR,2103,,0.62079737593,0.01002401674,116712,7755,9917,3633,4071,11697,5292,0,0,0,0,0,0,0,21,61,12,249,151,0,3,0,6.76787703457149,4.18190670013428,0.255736407822465,0.260831266641617,-0.0683621327179247,-0.0254829470068216,21060,0.5554131054131054,0.2512820512820513,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0422535211267605,0.1227364185110664,0.0241448692152917,0.5010060362173038,0.3038229376257545,0.0,0.0060362173038229,0.0,2016,-0.0474797748029232,-0.0833933433821671,6.924372554488995,4.30650317668915,0.243247446080202,0.249012440443039,10411,2685246
3,21,ORISSA,3,SAMBALPUR,18,RAIRAKHOL,3,SAMBALPUR,2103,,3.34658950263,0.28004917935,3818937,11177,20199,5623,8008,19496,8331,0,214,1577,3760,0,0,1180,3722,332,6,2601,3,484,0,3,0.437351775425275,0.361705258488655,0.398908617978114,0.40702012181282,-0.0919858524299934,-0.0991820953786373,35835,0.5440491139946979,0.2324822101297614,13882,0.0,0.0154156461604956,0.1136003457715026,0.2708543437545022,0.0,0.0,0.0850021610718916,0.2681169860250684,0.0239158622676847,0.0004322143783316,0.1873649330067713,0.0002161071891658,0.0348652931854199,0.0,0.0002161071891658,2016,-0.0808107331395149,-0.0823940799686633,0.434347189354237,0.3536298647522925,0.357613839614752,0.362741738557816,10411,2685246
7,21,ORISSA,8,BALESHWAR,41,SORO (SC),7,BHADRAK (SC),2107,,1.17136659095,0.03967845515,496798,8949,11425,29188,7194,13056,28917,0,0,3,4,0,0,2,0,15,8,1812,2,4,0,117,0.779714282399676,0.637887120246887,0.244876368861476,0.254550874233246,-0.0169061209488014,0.031961016356945,49167,0.2655439624138141,0.5881383855024712,1967,0.0,0.0,0.0015251652262328,0.0020335536349771,0.0,0.0,0.0010167768174885,0.0,0.0076258261311642,0.0040671072699542,0.9211997966446364,0.0010167768174885,0.0020335536349771,0.0,0.0594814438230808,2016,0.0094082704745233,-0.0254039097933413,0.7853624476756125,0.644371837377548,0.217505380318186,0.224812902510166,49355,546360
1,21,ORISSA,1,BARGARH  *,3,BARGARH,1,BARGARH,2101,,1.172142095,0.04055370721,550851,3797,3713,15,3559,3453,109,0,0,0,0,0,0,0,3,0,0,1989,19,1,0,0,1.50797802267651,0.882106304168701,0.33012185477156,0.31732265651226,-0.134205922573013,-0.117806751281023,7121,0.4849038056452745,0.0153068389271169,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014910536779324,0.0,0.0,0.9885685884691848,0.0094433399602385,0.0004970178926441,0.0,0.0,2016,-0.154709368944168,-0.149013143289175,1.588708680313895,0.9126280546188354,0.314958853966789,0.303745359182358,31827,1155342
7,21,ORISSA,8,BALESHWAR,42,SIMULIA,7,BHADRAK (SC),2107,,1.44638197523,0.04712094828,639660,5831,3253,33,5641,3134,15,0,0,1,0,0,0,1,0,0,0,2331,0,2,0,0,0.469925039601805,0.424289166927338,0.277656739392459,0.268522202968597,0.0220942727950996,0.0539144836366177,8790,0.3565415244596132,0.0017064846416382,2335,0.0,0.0,0.0004282655246252,0.0,0.0,0.0,0.0004282655246252,0.0,0.0,0.0,0.9982869379014988,0.0,0.0008565310492505,0.0,0.0,2016,0.0013594755437225,-0.0122207683263513,0.4834676968050739,0.4369214326143265,0.226326383310362,0.228726729750633,49355,546360
7,21,ORISSA,9,BHADRAK  *,45,BASUDEVPUR,7,BHADRAK (SC),2107,,1.36623932577,0.05133537279,502636,60222,113381,30593,89447,73478,35599,0,0,0,0,0,0,0,0,117,62,2217,0,0,1,153,0.595286865900009,0.507613092660904,0.226514487614708,0.230872422456741,-0.0227891485959688,0.0357543118298054,198524,0.3701214966452419,0.1793183695674074,2550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0458823529411764,0.024313725490196,0.8694117647058823,0.0,0.0,0.000392156862745,0.06,2016,0.0218871021643281,-0.0271501842562044,0.6135808164868566,0.534213811159134,0.197650131789633,0.202547699213028,49355,546360
7,21,ORISSA,9,BHADRAK  *,43,BHANDARIPOKHARI,7,BHADRAK (SC),2107,,1.50594906887,0.04318820889,564217,9025,20798,632,7169,22401,272,0,0,0,0,0,0,0,0,0,0,2138,2,0,0,3,0.686185311678964,0.610604584217072,0.257150750348088,0.242777191102505,0.0329180580468119,0.0628633052110672,29842,0.7506534414583473,0.0091146705984853,2143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9976668222118524,0.0009332711152589,0.0,0.0,0.0013999066728884,2016,0.0366102419793606,0.0167392475809462,0.7025074357125185,0.62541475892067,0.242820364462469,0.238362036645412,49355,546360
