OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,Area_AC,Water_1,Water_2,Water_3,LC_1,LC_2,LC_4,LC_5,LC_8,LC_9,LC_10,LC_11,LC_12,LC_13,LC_14,LC_16,LC_17,NL_mean,NL_median,NDBI_mean,NDBI_median,NDVI_mean,NDVI_median,Water_SUM,Seasonal_Ratio,Permanent_Ratio,LC_SUM,LC_1_ratio,LC_2_ratio,LC_4_ratio,LC_5_ratio,LC_8_ratio,LC_9_ratio,LC_10_ratio,LC_11_ratio,LC_12_ratio,LC_13_ratio,LC_14_ratio,LC_16_ratio,LC_17_ratio,Year,NDBI_median_t_minus_1,NDBI_mean_t_minus_1,NL_mean_t_minus_1,NL_median_t_minus_1,NDVI_mean_t_minus_1,NDVI_median_t_minus_1,Water_SUM_t_minus_1,Water_SUM_t_minus_2
13,20,JHARKHAND,2,PALAMU,78,CHHATARPUR (SC),13,PALAMU (SC),2013,Pre delimitation,2.10751713118,0.11384114941,1280690267.0,10740,8417,987,0,0,268,0,1,45,27,0,5291,6,19,0,0,0.656131943718592,0.52415257692337,-0.0649457415549175,-0.0601886659860611,0.313242879138701,0.306375473737717,20144,0.4178415409054805,0.0489972200158856,5657,0.0,0.0,0.0473749337104472,0.0,0.0001767721407106,0.007954746331978,0.0047728477991868,0.0,0.9353013964999116,0.0010606328442637,0.0033586706735018,0.0,0.0,2019,0.0430358946323395,0.021070701624623,0.540230754868189,0.400721073150635,0.299795526234035,0.290786236524582,41645,41647
13,20,JHARKHAND,2,PALAMU,76,DALTONGANJ,13,PALAMU (SC),2013,Pre delimitation,2.14992116569,0.1198160521,1349030253.0,14951,25541,6,0,0,732,0,1,261,44,0,4848,56,4,0,0,0.842885381018562,0.543517291545868,-0.0857164095832892,-0.0859046578407288,0.333133900249431,0.333191782236099,40498,0.6306731196602301,0.0001481554644673,5946,0.0,0.0,0.1231079717457114,0.0,0.00016818028927,0.0438950554994954,0.0073999327278842,0.0,0.8153380423814329,0.0094180961991254,0.0006727211570803,0.0,0.0,2019,0.0106471944600344,-0.0054539249304648,0.652471919436998,0.373498886823654,0.325807743695312,0.318434208631516,41645,41647
2,20,JHARKHAND,7,DEOGHAR,14,SARATH,2,DUMKA (ST),2002,Pre delimitation,1.58813770162,0.05596446056,629828400.0,1692,8436,564,0,0,0,0,4,1,6,0,2762,2,0,0,0,1.42323728318093,1.19908976554871,0.0065525602670745,0.0328849349170923,0.339540220341881,0.332225233316422,10692,0.7890011223344556,0.052749719416386,2775,0.0,0.0,0.0,0.0,0.0014414414414414,0.0003603603603603,0.0021621621621621,0.0,0.9953153153153154,0.0007207207207207,0.0,0.0,0.0,2019,0.0850770771503448,0.0536902800865467,1.06130859300832,0.87180894613266,0.256496140387752,0.248055011034012,2076,2076
4,20,JHARKHAND,3,CHATRA,26,SIMARIA (SC),4,CHATRA,2004,Pre delimitation,3.63376533327,0.16529805363,1862026109.0,3903,8693,961,1,3,941,356,264,1079,753,0,4765,29,15,0,0,0.765762260841818,0.457195743918419,-0.121177091447332,-0.124415308237076,0.386889166029857,0.385675311088562,13557,0.6412185586781737,0.0708858892085269,8206,0.0001218620521569,0.0003655861564708,0.1146721910796977,0.0433828905678771,0.032171581769437,0.131489154277358,0.0917621252741896,0.0,0.5806726785279064,0.0035339995125517,0.0018279307823543,0.0,0.0,2019,-0.0153704988770187,-0.0311055397071362,0.628792230941862,0.32464262843132,0.351440284149789,0.349756464362144,9180,9176
5,20,JHARKHAND,6,GIRIDIH,29,BAGODAR,5,KODARMA,2005,Pre delimitation,1.5175095811,0.07813633183,879486866.0,2680,8878,89,0,0,14,0,0,0,6,0,3845,8,3,0,0,0.791989655681051,0.615653812885284,0.0235274672142206,0.05140495672822,0.32455862848263,0.314233973622322,11647,0.7622563750321971,0.0076414527346097,3876,0.0,0.0,0.0036119711042311,0.0,0.0,0.0,0.001547987616099,0.0,0.992002063983488,0.002063983488132,0.0007739938080495,0.0,0.0,2019,0.0952692776918411,0.0637774675755809,0.671806008085724,0.494961708784103,0.24707060344145,0.23032583296299,11550,11554
5,20,JHARKHAND,4,HAZARIBAG,20,BARKATHA,5,KODARMA,2005,Pre delimitation,1.80119709001,0.07131477238,802723897.0,1387,2993,59,0,0,235,224,25,23,71,0,2895,41,23,0,0,0.903573094895136,0.685157656669617,-0.0600708611061659,-0.0294413398951292,0.408031083261233,0.390727654099464,4439,0.674250957422843,0.0132912818202297,3537,0.0,0.0,0.0664404862878145,0.0633305060785976,0.0070681368391292,0.0065026858919988,0.0200735086231269,0.0,0.818490245971162,0.0115917444161718,0.0065026858919988,0.0,0.0,2019,0.0493959188461304,0.0094092486151354,0.764740257762985,0.554608017206192,0.311421240314632,0.284485056996346,11550,11554
4,20,JHARKHAND,2,PALAMU,75,PANKI,4,CHATRA,2004,Pre delimitation,1.82395553183,0.09449767855,1064325353.0,5006,7906,44,0,0,916,0,5,488,104,0,3103,1,59,0,0,0.576035798307827,0.475345641374588,-0.0985303945130338,-0.104103781282902,0.341330894587794,0.340163514018059,12956,0.6102192034578574,0.0033961099104661,4676,0.0,0.0,0.1958939264328486,0.0,0.0010692899914456,0.1043627031650983,0.0222412318220701,0.0,0.663601368691189,0.0002138579982891,0.012617621899059,0.0,0.0,2019,0.0030974921537563,-0.0129475074560044,0.438547282616552,0.336084067821503,0.34277183420907,0.337000519037247,9180,9176
6,20,JHARKHAND,6,GIRIDIH,32,GIRIDIH,6,GIRIDIH,2006,Pre delimitation,1.36318067438,0.05423537356,610830324.0,576,3368,13,0,66,132,73,66,12,16,0,2310,6,2,0,0,0.806200769003398,0.676937073469162,-0.0235388639150548,0.0203311406075954,0.377338957122804,0.345592260360718,3957,0.8511498610058125,0.0032853171594642,2683,0.0,0.0245993291092061,0.0491986582184122,0.0272083488632128,0.0245993291092061,0.0044726052925829,0.0059634737234439,0.0,0.8609765188222139,0.0022363026462914,0.0007454342154304,0.0,0.0,2019,0.0476713087409735,-0.0021139146362257,0.720873027696741,0.576628148555756,0.300108170835573,0.265144735574722,3922,3923
13,20,JHARKHAND,1,GARHWA,80,GARHWA,13,PALAMU (SC),2013,Pre delimitation,2.30664502067,0.13270284465,1495635000.0,2615,12599,731,0,0,691,293,73,663,446,0,4342,29,34,0,0,0.522067051078761,0.391821146011353,-0.109347957347593,-0.108061954379082,0.392601834586749,0.394080758094788,15945,0.7901536531828159,0.0458450925054876,6571,0.0,0.0,0.1051590321107898,0.0445898645563841,0.0111094201795769,0.1008978846446507,0.0678739917820727,0.0,0.6607822249277127,0.0044133313042154,0.0051742504945974,0.0,0.0,2019,-0.017321839928627,-0.0306309338111597,0.379288757169935,0.267626732587814,0.360485375361573,0.357905179262161,41645,41647
14,20,JHARKHAND,4,HAZARIBAG,25,HAZARIBAGH,14,HAZARIBAGH,2014,Pre delimitation,1.50567825421,0.07028228989,791870015.0,1790,3627,833,0,0,149,156,66,127,45,0,2831,68,46,1,0,1.58286392042806,0.835465341806412,-0.0796639520222707,-0.0630324110388756,0.410786829642886,0.403472870588303,6250,0.58032,0.13328,3489,0.0,0.0,0.0427056463169962,0.0447119518486672,0.0189165950128976,0.0364001146460303,0.0128976784178847,0.0,0.8114072800229292,0.0194898251648036,0.0131842934938377,0.0002866150759529,0.0,2019,0.0240835398435593,-0.0056132135503497,1.51559973295368,0.723928719758987,0.320540143298058,0.304355353116989,67094,67095
