OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,HISTO_0,HISTO_1,HISTO_2,HISTO_3,Water_1,Water_2,Water_3,LC_1,LC_2,LC_4,LC_5,LC_6,LC_7,LC_8,LC_9,LC_10,LC_11,LC_12,LC_13,LC_14,LC_16,LC_17,NL_mean,NL_median,NDBI_mean,NDBI_median,NDVI_mean,NDVI_median,Water_SUM,Seasonal_Ratio,Permanent_Ratio,LC_SUM,LC_1_ratio,LC_2_ratio,LC_4_ratio,LC_5_ratio,LC_6_ratio,LC_7_ratio,LC_8_ratio,LC_9_ratio,LC_10_ratio,LC_11_ratio,LC_12_ratio,LC_13_ratio,LC_14_ratio,LC_16_ratio,LC_17_ratio,Year,NDBI_median_t_minus_1,NDBI_mean_t_minus_1,NL_mean_t_minus_1,NL_median_t_minus_1,NDVI_mean_t_minus_1,NDVI_median_t_minus_1,Water_SUM_t_minus_1,Water_SUM_t_minus_2
11,21,ORISSA,25,NUAPADA  *,71,NUAPADA,11,KALAHANDI,2111,,2.44654473281,0.17969002734,2405181,8807,46761,13406,6658,49518,7836,0,0,1683,9,0,0,15,973,520,19,5596,7,62,1,16,0.517583881644055,0.402156561613083,0.0099843187395556,0.0377141870558262,0.363116918819955,0.364476412534714,64012,0.7735737049303255,0.1224145472723864,8901,0.0,0.0,0.1890798786653185,0.0010111223458038,0.0,0.0,0.001685203909673,0.1093135602741265,0.0584204022019997,0.0021345916189192,0.6286934052353668,0.0007864284911807,0.0069655094933153,0.0001123469273115,0.0017975508369846,2019,0.0428880490362644,0.0216005128548802,0.407912147258992,0.289251446723938,0.333437920518711,0.333301067352295,56936,56908
7,21,ORISSA,9,BHADRAK  *,47,CHANDABALI,7,BHADRAK (SC),2107,,1.32894827621,0.06058087723,469119,150932,180280,33837,234394,84055,35451,0,0,0,0,0,0,0,0,268,57,2570,0,0,12,102,0.952190797348156,0.561901926994324,-0.0321626941779013,0.0166198424994946,0.265143737117547,0.298508331179619,353900,0.2375105962136196,0.1001723650748799,3009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0890661349285476,0.0189431704885343,0.8541043536058491,0.0,0.0,0.003988035892323,0.0338983050847457,2019,0.0740595161914825,0.0121142731259743,0.768730815353155,0.445294380187988,0.194893291533789,0.21084488928318,49389,47226
10,21,ORISSA,24,BALANGIR,66,LOISINGHA (SC),10,BOLANGIR,2110,,2.52113374726,0.08726381644,1174138,13934,13161,225,6539,20083,227,0,0,77,8,0,0,64,11,12,0,4138,0,12,0,0,0.700737157274151,0.602677196264267,-0.053840475394243,-0.0413759425282478,0.360028138824894,0.362185478210449,26849,0.7479980632425789,0.0084546910499459,4322,0.0,0.0,0.0178158260064784,0.0018509949097639,0.0,0.0,0.0148079592781119,0.0025451180009254,0.0027764923646459,0.0,0.957427117075428,0.0,0.0027764923646459,0.0,0.0,2019,0.0134836183860898,-0.000931961802415,0.567162124882087,0.459286168217659,0.344676252806098,0.345230996608734,109747,109940
9,21,ORISSA,14,DHENKANAL,57,KAMAKHYANAGAR,9,DHENKANAL,2109,,2.00668751863,0.06295351526,806454,17949,31908,10497,12505,37976,8912,0,36,47,58,0,0,21,24,84,0,2600,3,196,12,36,0.941932909023172,0.726259618997574,-0.0334294480282956,-0.0023231459781527,0.331360382487979,0.328529313206673,59393,0.639401949724715,0.1500513528530298,3117,0.0,0.0115495668912415,0.0150786012191209,0.0186076355470003,0.0,0.0,0.0067372473532242,0.0076997112608277,0.026948989412897,0.0,0.8341353865896696,0.0009624639076034,0.0628809752967597,0.0038498556304138,0.0115495668912415,2019,0.0073741949163377,-0.016874481999966,0.884170721299999,0.686803728342056,0.313666564070254,0.311799824237823,199212,199174
8,21,ORISSA,13,JAJAPUR  *,52,JAJPUR,8,JAJPUR (SC),2108,,1.17637097769,0.02487221812,302458,21486,15143,3398,17282,18893,2958,0,0,0,0,0,0,0,1,4,0,1215,15,0,0,3,1.46022887034463,1.13389837741852,-0.0733127352970204,-0.0453765913844109,0.385022086891312,0.383219987154007,39133,0.4827894615797409,0.0755883780952137,1238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008077544426494,0.0032310177705977,0.0,0.981421647819063,0.0121163166397415,0.0,0.0,0.0024232633279483,2019,0.037124615162611,-0.0068360593616328,1.24911423167819,0.969784200191498,0.29945692375403,0.287568747997284,41915,41339
8,21,ORISSA,13,JAJAPUR  *,51,DHARMASALA,8,JAJPUR (SC),2108,,1.26786439889,0.03334181319,398313,17857,39334,3578,19735,37617,2762,0,0,3,0,0,0,0,0,22,0,1604,0,2,11,13,1.49983578596034,1.20290619134903,-0.0405060620182329,-0.0157573446631432,0.318964432925614,0.313969239592552,60114,0.6257610539974049,0.0459460358651894,1655,0.0,0.0,0.0018126888217522,0.0,0.0,0.0,0.0,0.0,0.0132930513595166,0.0,0.9691842900302114,0.0,0.0012084592145015,0.0066465256797583,0.0078549848942598,2019,0.0222564768046141,-0.0101888362474376,1.35702023335351,1.08268284797668,0.286727091901934,0.269484326243401,41915,41339
10,21,ORISSA,24,BALANGIR,67,PATNAGARH,10,BOLANGIR,2110,,2.20172467739,0.16039031966,2189297,5804,12276,1091,3982,13811,954,0,0,928,90,0,0,82,144,43,0,6640,3,22,0,0,0.551644174274427,0.449470281600952,-0.0310006832934027,-0.005998728564009,0.380964945736966,0.372574761509895,18747,0.7367045393929695,0.0508881421027364,7952,0.0,0.0,0.1167002012072434,0.011317907444668,0.0,0.0,0.0103118712273641,0.0181086519114688,0.005407444668008,0.0,0.8350100603621731,0.0003772635814889,0.0027665995975855,0.0,0.0,2019,0.0271080210804939,0.0027631328656219,0.4241737925917,0.317356079816818,0.353315230884976,0.341535031795502,109747,109940
9,21,ORISSA,15,ANUGUL  *,61,ANGUL,9,DHENKANAL,2109,,1.57250154006,0.05306000665,724897,1976,3355,327,1657,3591,96,0,189,295,51,0,0,171,68,10,1,1633,17,192,0,0,1.77493280905229,0.780961215496063,-0.0897713578680516,-0.0729041397571564,0.420918821216645,0.399942725896835,5344,0.6719685628742516,0.0179640718562874,2627,0.0,0.0719451846212409,0.1122953939855348,0.0194137799771602,0.0,0.0,0.0650932622763608,0.025885039969547,0.0038066235249333,0.0003806623524933,0.6216216216216216,0.0064712599923867,0.0730871716787209,0.0,0.0,2019,-0.066251777112484,-0.0837702490609048,1.73607190884437,0.794404864311218,0.384488605737972,0.367437750101089,199212,199174
8,21,ORISSA,13,JAJAPUR  *,48,BINJHARPUR (SC),8,JAJPUR (SC),2108,,1.17271463284,0.0270387439,253813,40847,75793,1831,80433,35831,1679,0,0,0,0,0,0,0,0,0,0,1332,0,0,0,1,0.87551016848357,0.793658077716827,-0.109490204213565,-0.083045806735754,0.431868018854167,0.42543837428093,117943,0.3037992928787634,0.0142356901214993,1333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9992498124531132,0.0,0.0,0.0,0.0007501875468867,2019,0.0398156698793173,-0.0090477946226216,0.731114899562228,0.662390440702438,0.310791036848173,0.297634288668633,41915,41339
9,21,ORISSA,14,DHENKANAL,56,HINDOL (SC),9,DHENKANAL,2109,,1.90606416296,0.0986271906,1328472,3647,18740,7111,3097,18465,6155,0,59,677,117,0,0,308,121,26,2,2861,27,667,0,26,1.32522058765191,0.624946594238281,-0.0937611247038039,-0.0716918967664242,0.420797357288665,0.412520170211792,27717,0.6661976404372768,0.2220658801457589,4891,0.0,0.0120629728071968,0.1384175015334287,0.0239214884481701,0.0,0.0,0.0629728071968922,0.0247393171130648,0.0053158863218155,0.0004089143324473,0.5849519525659375,0.0055203434880392,0.1363729298711919,0.0,0.0053158863218155,2019,-0.0677980184555054,-0.0837830061709082,1.24718846159207,0.554877489805222,0.380981575783169,0.379569068551064,199212,199174
