OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,Area_AC,Water_1,Water_2,Water_3,LC_1,LC_2,LC_4,LC_5,LC_7,LC_8,LC_9,LC_10,LC_11,LC_12,LC_13,LC_14,LC_16,LC_17,NDVI_mean,NDVI_median,NDBI_mean,NDBI_median,NL_mean,NL_median,Water_SUM,Seasonal_Ratio,Permanent_Ratio,LC_SUM,LC_1_ratio,LC_2_ratio,LC_4_ratio,LC_5_ratio,LC_7_ratio,LC_8_ratio,LC_9_ratio,LC_10_ratio,LC_11_ratio,LC_12_ratio,LC_13_ratio,LC_14_ratio,LC_16_ratio,LC_17_ratio,Year,NDBI_median_t_minus_1,NDBI_mean_t_minus_1,NL_mean_t_minus_1,NL_median_t_minus_1,NDVI_mean_t_minus_1,NDVI_median_t_minus_1,Water_SUM_t_minus_1,Water_SUM_t_minus_2
5,20,JHARKHAND,6,GIRIDIH,28,DHANWAR,5,KODARMA,2005,Pre delimitation,1.92109347145,0.1040423738,1167489040.0,2333,6782,1420,0,0,485,4,0,77,101,610,0,3876,2,11,0,0,0.313689647989714,0.299197122454643,0.0191317346348081,0.0475420374423265,0.388027915770826,0.33125601708889,10535,0.6437588989084005,0.1347887992406264,5166,0.0,0.0,0.0938830816879597,0.0007742934572202,0.0,0.0149051490514905,0.0195509097948122,0.1180797522260937,0.0,0.7502903600464577,0.0003871467286101,0.0021293070073557,0.0,0.0,2016,0.0405076388269663,0.0070752954911227,0.137956343944039,0.0996319279074669,0.283147683998272,0.266269624233246,11552,1479773
3,20,JHARKHAND,11,DUMKA,16,POREYAHAT,3,GODDA,2003,Pre delimitation,0.82038596833,0.02448733328,274773786.0,467,1432,74,0,0,0,0,0,0,0,0,0,1209,5,0,0,0,0.291213824302751,0.277297288179398,0.0459603316497295,0.0736580193042755,0.607288836955018,0.535012245178223,1973,0.7257982767359351,0.0375063355296502,1214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9958813838550248,0.0041186161449752,0.0,0.0,0.0,2016,0.0583368316292763,0.0360946641041239,0.425840565279315,0.35885214805603,0.202436044926316,0.197955563664436,3332,414463
2,20,JHARKHAND,11,DUMKA,11,JAMA (ST),2,DUMKA (ST),2002,Pre delimitation,1.66768175441,0.07166978021,804996562.0,650,1423,2,0,0,88,0,0,5,2,0,0,3454,0,4,0,0,0.281601260653573,0.271149903535843,0.0511519132937174,0.0734929740428925,0.528348623470111,0.456480637192726,2075,0.6857831325301205,0.0009638554216867,3553,0.0,0.0,0.0247678018575851,0.0,0.0,0.0014072614691809,0.0005629045876723,0.0,0.0,0.9721362229102168,0.0,0.0011258091753447,0.0,0.0,2016,0.0496444664895535,0.0296444509720524,0.32672279743524,0.259256556630135,0.195629427194651,0.190384313464165,2076,986823
1,20,JHARKHAND,10,PAKAUR,6,MAHESHPUR (ST),1,RAJMAHAL (ST),2001,Pre delimitation,1.27582762595,0.06691577396,751657776.0,2658,4973,119,0,0,1,0,0,0,0,0,0,3316,0,11,0,0,0.26875441907162,0.251809641718864,-0.0020535368818571,0.0274915909394622,0.540414748799602,0.468114078044891,7750,0.6416774193548387,0.0153548387096774,3328,0.0,0.0,0.0003004807692307,0.0,0.0,0.0,0.0,0.0,0.0,0.9963942307692308,0.0,0.0033052884615384,0.0,0.0,2016,0.0122152701951563,-0.0114595362026763,0.353645070552059,0.277657896280289,0.187692600224342,0.178716197609901,340164,695963
3,20,JHARKHAND,7,DEOGHAR,15,DEOGHAR (SC),3,GODDA,2003,Pre delimitation,1.30617917973,0.06281336802,705174586.0,1445,4869,91,0,0,7,0,0,5,0,84,0,2886,54,78,0,0,0.272600555202348,0.259368509054184,0.0676981107487836,0.0949403345584869,1.94599584955328,1.02453970909119,6405,0.7601873536299766,0.014207650273224,3114,0.0,0.0,0.0022479126525369,0.0,0.0,0.0016056518946692,0.0,0.0269749518304431,0.0,0.9267822736030829,0.0173410404624277,0.02504816955684,0.0,0.0,2016,0.0778679437935352,0.0519254579700572,1.67872695038819,0.766126036643982,0.223543287264775,0.213064558804035,3332,414463
5,20,JHARKHAND,6,GIRIDIH,30,JAMUA (SC),5,KODARMA,2005,Pre delimitation,1.43911148078,0.08319069942,934470139.0,1314,4985,52,0,0,23,0,0,3,0,126,0,3937,0,27,0,0,0.260871941679915,0.245436407625675,0.0788088989977027,0.107106067240238,0.45711368448721,0.401626080274582,6351,0.7849157612974335,0.0081876869784285,4116,0.0,0.0,0.0055879494655004,0.0,0.0,0.0007288629737609,0.0,0.0306122448979591,0.0,0.956511175898931,0.0,0.0065597667638483,0.0,0.0,2016,0.109813656657934,0.0778492569455454,0.181732710402466,0.146657548844814,0.227526062995834,0.212443314492702,11552,1479773
13,20,JHARKHAND,2,PALAMU,79,HUSSAINABAD,13,PALAMU (SC),2013,Pre delimitation,1.75956478417,0.06223463576,698749189.0,5282,29614,6751,0,0,94,0,1,0,0,123,0,2773,23,2,60,0,0.344660987054853,0.35295233130455,-0.0571713417802012,-0.0489486698061228,0.780941426159305,0.555723935365677,41647,0.711071625807381,0.1621005114414003,3076,0.0,0.0,0.0305591677503251,0.0,0.0003250975292587,0.0,0.0,0.0399869960988296,0.0,0.9014954486345904,0.0074772431729518,0.0006501950585175,0.0195058517555266,0.0,2016,0.0296784620732069,0.0063944441454543,0.472429015370609,0.282334417104721,0.294683437392215,0.289140537381172,41647,856888
3,20,JHARKHAND,11,DUMKA,12,JARMUNDI,3,GODDA,2003,Pre delimitation,0.93336288714,0.03345382096,375806202.0,348,608,0,0,0,1,0,0,0,0,0,0,1658,0,0,0,0,0.283925149572806,0.272515892982483,0.0569907562302947,0.0810450688004494,0.691402663846834,0.572237074375153,956,0.6359832635983264,0.0,1659,0.0,0.0,0.0006027727546714,0.0,0.0,0.0,0.0,0.0,0.0,0.9993972272453284,0.0,0.0,0.0,0.0,2016,0.0593148432672024,0.0385062851770066,0.486380515769929,0.371550291776657,0.194151049304356,0.190490424633026,3332,414463
14,20,JHARKHAND,4,HAZARIBAG,21,BARHI,14,HAZARIBAGH,2014,Pre delimitation,2.12880995623,0.10526575674,1183179647.0,1950,43133,22011,0,0,1002,36,0,14,230,728,48,3111,2,11,10,20,0.330917386258691,0.341503813862801,-0.0337995741002314,-0.0174791775643826,0.945001328823684,0.656711161136627,67094,0.6428741765284526,0.3280621217992667,5212,0.0,0.0,0.1922486569455103,0.0069071373752877,0.0,0.0026861089792785,0.0441289332310053,0.1396776669224865,0.0092095165003837,0.5968917881811205,0.0003837298541826,0.0021105141980046,0.0019186492709132,0.0038372985418265,2016,0.0096886442042887,-0.0166488921034504,0.711432846042249,0.456154733896255,0.303533031053578,0.300224751234055,67095,1449422
2,20,JHARKHAND,11,DUMKA,7,SIKARIPARA (ST),2,DUMKA (ST),2002,Pre delimitation,2.32012196138,0.1035338562,1164873640.0,4231,11892,414,0,0,399,16,0,82,62,12,0,4503,0,47,0,2,0.285867568565135,0.269851595163345,0.0314045224813894,0.0629324689507484,0.425721971681045,0.376363754272461,16537,0.7191147124629619,0.0250347705146036,5123,0.0,0.0,0.0778840523130977,0.0031231700175678,0.0,0.0160062463400351,0.0121022838180753,0.0023423775131758,0.0,0.8789771618192466,0.0,0.0091743119266055,0.0,0.0003903962521959,2016,0.0363884158432484,0.0070704008796975,0.235331774325428,0.176941573619843,0.21193216626357,0.200894147157669,2076,986823
