OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,HISTO_0,HISTO_1,HISTO_2,HISTO_3,Water_1,Water_2,Water_3,LC_2,LC_4,LC_5,LC_8,LC_9,LC_10,LC_11,LC_12,LC_13,LC_14,LC_16,LC_17,NDBI_mean,NDBI_median,NDVI_mean,NDVI_median,Water_SUM,Seasonal_Ratio,Permanent_Ratio,NL_mean,NL_median,LC_SUM,LC_2_ratio,LC_4_ratio,LC_5_ratio,LC_8_ratio,LC_9_ratio,LC_10_ratio,LC_11_ratio,LC_12_ratio,LC_13_ratio,LC_14_ratio,LC_16_ratio,LC_17_ratio,Year,NDBI_median_t_minus_1,NDBI_mean_t_minus_1,NL_mean_t_minus_1,NL_median_t_minus_1,NDVI_mean_t_minus_1,NDVI_median_t_minus_1,Water_SUM_t_minus_1,Water_SUM_t_minus_2
18,10,BIHAR,16,SIWAN,106,Ziradei,18,SIWAN,1018,,1.17527026924,0.02478899244,331250,7466,2568,0,6228,498,0,0,0,0,0,0,0,0,1219,0,0,0,0,-0.281333624888983,-0.294030264019966,0.513442777594532,0.53082075715065,6726,0.0740410347903657,0.0,1.5034540969908723,1.375335842370987,1219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2018,-0.220763765275478,-0.214303028888717,1.441412178529957,1.303499698638916,0.383592130430278,0.389878004789352,8918,8869
8,10,BIHAR,6,SUPAUL *,43,Supaul,8,SUPAUL,1008,,1.76401417288,0.03654374633,371176,53276,72181,6526,58319,65802,5463,0,0,0,0,5,232,0,1486,3,12,26,51,-0.249350913816679,-0.269997417926788,0.442605875816115,0.495356976985931,129584,0.5077941721200148,0.0421579824669712,1.29983323580323,0.999306082725525,1815,0.0,0.0,0.0,0.0,0.0027548209366391,0.1278236914600551,0.0,0.818732782369146,0.0016528925619834,0.0066115702479338,0.0143250688705234,0.028099173553719,2018,-0.149409040808678,-0.132749013361702,1.149486114866826,0.889036357402802,0.289080878391554,0.315390557050705,175749,175377
6,10,BIHAR,13,DARBHANGA,86,Keoti,6,MADHUBANI,1006,,1.27111040228,0.0221114836,190328,22587,91390,167,105360,9029,44,0,0,0,0,0,0,0,1092,12,0,0,0,-0.244750320637565,-0.24037130177021,0.489272096040035,0.496194019913673,114433,0.0789020649637779,0.0003845044698644,1.2914064275648665,1.2089116275310516,1104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9891304347826086,0.0108695652173913,0.0,0.0,0.0,2018,-0.155210748314857,-0.152245525028969,1.086347198004232,1.023981928825378,0.344566569745984,0.348093867301941,49020,47361
16,10,BIHAR,14,MUZAFFARPUR,96,Baruraj,16,VAISHALI,1016,,1.05691857109,0.02934834673,371930,11527,20612,15,23374,2677,24,0,0,0,0,9,0,0,1386,0,56,0,3,-0.23364235599024,-0.225776575505733,0.444586152299255,0.447819337248802,26075,0.1026653883029722,0.0009204218600191,1.5001431036436697,1.403209865093231,1454,0.0,0.0,0.0,0.0,0.0061898211829436,0.0,0.0,0.953232462173315,0.0,0.0385144429160935,0.0,0.0020632737276478,2018,-0.172209404408932,-0.173227096367551,1.226407093369364,1.163286447525024,0.342560772382061,0.346445873379707,40714,29016
16,10,BIHAR,14,MUZAFFARPUR,98,Sahebganj,16,VAISHALI,1016,,1.16070680094,0.0370607819,399778,30435,75014,5059,65137,15413,3627,0,0,0,0,101,39,0,1633,3,19,1,43,-0.206199326450035,-0.194468192756176,0.415526459648042,0.419768333435059,84177,0.1831022725922758,0.0430877793221426,1.307336134093851,1.2471290528774266,1839,0.0,0.0,0.0,0.0,0.054921152800435,0.0212071778140293,0.0,0.8879825992387167,0.0016313213703099,0.010331702011963,0.0005437737901033,0.0233822729744426,2018,-0.170858852565289,-0.174062241928798,1.178089176695976,1.116424381732941,0.339059102160312,0.346216470003128,40714,29016
9,10,BIHAR,7,ARARIA,50,Jokihat,9,ARARIA,1009,,1.21859188026,0.03280711831,430957,9729,11024,0,13756,4813,2,0,0,0,0,0,0,0,1617,2,8,0,1,-0.244128809575256,-0.260509938001633,0.431782431515575,0.449800089001656,18571,0.2591675192504442,0.0001076947929567,0.964140250498952,0.8881663829088216,1628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9932432432432432,0.0012285012285012,0.0049140049140049,0.0,0.0006142506142506,2018,-0.208753421902657,-0.193838991275267,0.795113853174331,0.743873089551926,0.381916857284534,0.384585529565811,17060,16917
19,10,BIHAR,16,SIWAN,111,Goriakothi,19,MAHARAJGANJ,1019,,1.00703303081,0.02670980514,327621,15162,24960,0,16782,2182,0,0,0,0,0,23,0,0,1266,4,18,0,11,-0.212068192166444,-0.21214771270752,0.44646670251979,0.454624891281128,18964,0.115060113900021,0.0,1.7624701364760131,1.6862244606018066,1322,0.0,0.0,0.0,0.0,0.0173978819969742,0.0,0.0,0.957639939485628,0.0030257186081694,0.0136157337367624,0.0,0.0083207261724659,2018,-0.201928451657295,-0.197281407160601,1.581642888806901,1.49755847454071,0.381694450426811,0.39266699552536,19540,18624
15,10,BIHAR,14,MUZAFFARPUR,91,Bochaha (SC),15,MUZAFFARPUR,1015,,1.19792468525,0.02261163377,241948,24200,45200,0,59329,5769,0,0,0,0,0,81,0,0,924,44,66,0,8,-0.259260298398521,-0.259085327386856,0.470654020566764,0.481828898191452,65098,0.0886202341085747,0.0,2.9489859575497435,1.964637398719788,1123,0.0,0.0,0.0,0.0,0.0721282279608192,0.0,0.0,0.8227960819234195,0.0391807658058771,0.0587711487088156,0.0,0.0071237756010685,2018,-0.237354516983032,-0.227877456980473,2.224833164987761,1.475054502487183,0.360830733436819,0.37272235751152,158703,152199
14,10,BIHAR,13,DARBHANGA,82,Darbhanga Rural,14,DARBHANGA,1014,,1.20555380029,0.02361847393,290195,8493,26465,56,32767,3384,0,0,0,0,0,0,0,0,1166,5,0,0,0,-0.185845202004369,-0.176326990127563,0.438305481779204,0.441655158996582,36151,0.0936073690907582,0.0,1.49315546883815,1.3412561416625977,1171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.995730145175064,0.0042698548249359,0.0,0.0,0.0,2018,-0.117014043033123,-0.116708516038802,1.258098296111538,1.121142089366913,0.308275625566876,0.310204982757568,36251,30618
15,10,BIHAR,14,MUZAFFARPUR,88,Gaighat,15,MUZAFFARPUR,1015,,0.99204977915,0.03456458901,306653,71861,97328,96,150965,16661,11,0,0,0,0,2,0,0,1690,2,20,0,0,-0.328327859628271,-0.343273624777794,0.545205530143074,0.569400876760483,167637,0.0993873667507769,6.561797216604926e-05,1.2248415283456624,1.1443008184432986,1714,0.0,0.0,0.0,0.0,0.0011668611435239,0.0,0.0,0.9859976662777128,0.0011668611435239,0.0116686114352392,0.0,0.0,2018,-0.268124684691429,-0.257120018915726,1.009830286768516,0.940747618675232,0.404688941861734,0.412254065275192,158703,152199
16,10,BIHAR,14,MUZAFFARPUR,95,Kanti,16,VAISHALI,1016,,0.86428844855,0.02619470136,327704,14522,18491,1,23053,5707,0,0,0,0,0,70,2,0,1130,43,58,0,2,-0.247658981279059,-0.241669505834579,0.454643179274995,0.461709544062614,28760,0.1984353268428372,0.0,2.477615760468148,1.6334362030029297,1305,0.0,0.0,0.0,0.0,0.053639846743295,0.0015325670498084,0.0,0.8659003831417624,0.0329501915708812,0.0444444444444444,0.0,0.0015325670498084,2018,-0.205491706728935,-0.203186952496581,1.929683545565513,1.171547174453735,0.356703865102105,0.364520639181137,40714,29016
14,10,BIHAR,13,DARBHANGA,83,Darbhanga,14,DARBHANGA,1014,,0.67893743592,0.00756457293,70336,8821,24974,18,29712,3955,3,0,0,0,0,18,0,0,253,99,3,0,0,-0.1859918504631,-0.166268274188042,0.411578686536726,0.420839339494705,33670,0.1174636174636174,8.91000891000891e-05,5.19329952739458,2.561989426612854,373,0.0,0.0,0.0,0.0,0.0482573726541554,0.0,0.0,0.67828418230563,0.2654155495978552,0.0080428954423592,0.0,0.0,2018,-0.135724857449532,-0.131216769439194,3.862113608077248,2.1946040391922,0.288791538084234,0.308173209428787,36251,30618
14,10,BIHAR,13,DARBHANGA,81,Alinagar,14,DARBHANGA,1014,,1.07671754229,0.02550290965,302694,19859,28592,19,41663,4908,0,0,0,0,0,0,0,0,1257,6,1,0,0,-0.189222778628878,-0.185481145977974,0.437354347775169,0.445663273334503,46571,0.1053874728908548,0.0,1.112264971064013,0.9998343288898464,1264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9944620253164556,0.0047468354430379,0.0007911392405063,0.0,0.0,2018,-0.119145806878805,-0.118218862821311,0.992456886231192,0.892370760440826,0.301640048630542,0.301245585083961,36251,30618
9,10,BIHAR,7,ARARIA,47,Raniganj (SC),9,ARARIA,1009,,1.41735990239,0.04997009892,684045,1673,2356,0,2285,743,0,0,0,0,0,0,0,0,2369,0,118,0,0,-0.252531648139213,-0.260253891348839,0.493125464161085,0.511337399482727,3028,0.2453764861294584,0.0,0.976986707405886,0.8843402564525604,2487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9525532770406112,0.0,0.0474467229593888,0.0,0.0,2018,-0.25976300239563,-0.238378007706872,0.822590101797541,0.754146635532379,0.442765772687083,0.457155227661133,17060,16917
18,10,BIHAR,16,SIWAN,107,Darauli (SC),18,SIWAN,1018,,1.13629182965,0.03279369662,393074,14990,39985,3506,20905,29295,2939,0,0,0,0,0,8,0,1545,5,0,15,46,-0.302032335353839,-0.337565779685974,0.515196741010944,0.562540411949158,53139,0.5512900129848134,0.0553077777150492,1.0357312564758154,0.9869594871997828,1619,0.0,0.0,0.0,0.0,0.0,0.0049413218035824,0.0,0.9542927733168622,0.003088326127239,0.0,0.0092649783817171,0.0284126003705991,2018,-0.242090776562691,-0.219193063002697,0.995957171751903,0.957651078701019,0.389013740933412,0.41643625497818,8918,8869
19,10,BIHAR,17,SARAN,116,Taraiya,19,MAHARAJGANJ,1019,,1.01672488779,0.02876563961,320597,32982,39311,3178,31994,8907,2163,0,0,0,0,35,9,0,1341,0,24,0,20,-0.217422177496842,-0.221619464457035,0.444901764707279,0.462129190564156,43064,0.2068316923648523,0.0502275682704811,1.865560361805936,1.7632657885551457,1429,0.0,0.0,0.0,0.0,0.0244926522043387,0.0062981105668299,0.0,0.9384184744576628,0.0,0.0167949615115465,0.0,0.0139958012596221,2018,-0.215215429663658,-0.20662363521331,1.624183324189253,1.522840261459351,0.385504142768481,0.403981268405914,19540,18624
18,10,BIHAR,16,SIWAN,108,Raghunathpur,18,SIWAN,1018,,1.28861566666,0.02389653997,301420,13757,13814,2,10789,11360,0,0,0,0,0,0,0,0,1173,15,2,0,4,-0.299838984963097,-0.327168226242065,0.527840122306267,0.556016087532043,22149,0.5128899724592533,0.0,1.496664100076039,1.3157745003700256,1194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9824120603015076,0.0125628140703517,0.0016750418760469,0.0,0.0033500837520938,2018,-0.238596215844154,-0.223699050420961,1.228986169707957,1.064239919185638,0.401747412724971,0.411417573690414,8918,8869
19,10,BIHAR,17,SARAN,115,Baniapur,19,MAHARAJGANJ,1019,,1.14806618467,0.02522618389,317955,18283,11104,0,18784,526,0,0,0,0,0,42,0,0,1162,8,29,0,5,-0.21258951209436,-0.211851686239243,0.456718612160734,0.46171623468399,19310,0.0272397721387881,0.0,1.961434204348748,1.7998849153518677,1246,0.0,0.0,0.0,0.0,0.0337078651685393,0.0,0.0,0.9325842696629212,0.0064205457463884,0.0232744783306581,0.0,0.0040128410914927,2018,-0.192108459770679,-0.187507908056243,1.590684514966228,1.399817943572998,0.395748127010129,0.404132202267647,19540,18624
10,10,BIHAR,9,PURNIA,56,Amour,10,KISHANGANJ,1010,,1.17440271741,0.04231365198,507787,34668,39743,409,48736,20882,505,0,0,0,0,1,6,0,2081,2,0,0,1,-0.162785445779547,-0.155212417244911,0.328217105225971,0.311439841985703,70123,0.2977910243429402,0.0072016314190779,0.731337550551211,0.676376044750214,2091,0.0,0.0,0.0,0.0,0.0004782400765184,0.0028694404591104,0.0,0.995217599234816,0.0009564801530368,0.0,0.0,0.0004782400765184,2018,-0.151889622211456,-0.154799977835359,0.603281242801374,0.572990953922272,0.351697165396411,0.339774906635284,66542,66422
14,10,BIHAR,13,DARBHANGA,85,Bahadurpur,14,DARBHANGA,1014,,1.42676410466,0.02803036267,197063,22959,165909,1,169183,20435,2,0,0,0,0,17,0,0,1338,27,4,0,0,-0.300083156157896,-0.31507471203804,0.526333966792418,0.549059480428696,189620,0.1077681679147769,1.0547410610695074e-05,1.615797883464444,1.286249995231628,1386,0.0,0.0,0.0,0.0,0.0122655122655122,0.0,0.0,0.9653679653679652,0.0194805194805194,0.0028860028860028,0.0,0.0,2018,-0.199576489627361,-0.18954159991346,1.317850736221532,1.084934830665588,0.346527583272761,0.34852996468544,36251,30618
14,10,BIHAR,13,DARBHANGA,80,Benipur,14,DARBHANGA,1014,,1.468746495,0.02486209923,327596,8989,5719,10,14777,1597,0,0,0,0,0,0,0,0,1221,6,2,0,0,-0.208676015607637,-0.2098358720541,0.458209574078995,0.468947529792786,16374,0.0975326737510687,0.0,1.3201652588005777,1.0570051074028015,1229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9934906427990235,0.0048820179007323,0.0016273393002441,0.0,0.0,2018,-0.153210833668709,-0.146415758545654,1.042624960648955,0.876959443092346,0.324136370835418,0.325583308935165,36251,30618
