OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,Area_AC,Water_1,Water_2,Water_3,LC_1,LC_2,LC_4,LC_5,LC_7,LC_8,LC_9,LC_10,LC_11,LC_12,LC_13,LC_14,LC_16,LC_17,NDBI_mean,NDBI_median,NDVI_mean,NDVI_median,NL_mean,NL_median,Water_SUM,Seasonal_Ratio,Permanent_Ratio,LC_SUM,LC_1_ratio,LC_2_ratio,LC_4_ratio,LC_5_ratio,LC_7_ratio,LC_8_ratio,LC_9_ratio,LC_10_ratio,LC_11_ratio,LC_12_ratio,LC_13_ratio,LC_14_ratio,LC_16_ratio,LC_17_ratio,Year,NDBI_median_t_minus_1,NDBI_mean_t_minus_1,NL_mean_t_minus_1,NL_median_t_minus_1,NDVI_mean_t_minus_1,NDVI_median_t_minus_1,Water_SUM_t_minus_1,Water_SUM_t_minus_2
7,20,JHARKHAND,12,DHANBAD,41,JHARIA,7,DHANBAD,2007,Pre delimitation,0.39463015983,0.00642315035,72556354.0,597,3491,92,0,0,0,0,0,0,0,4,0,64,248,0,0,0,0.0016508088246658,0.0132044218480587,0.15083798348555,0.15765468776226,9.70575998450399,9.66016006469727,4180,0.8351674641148326,0.0220095693779904,316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0126582278481012,0.0,0.2025316455696202,0.7848101265822784,0.0,0.0,0.0,2015,0.0343498326838017,0.0130649504353939,2.67769081721294,1.81711030006409,0.262585739764107,0.263414606451988,670130,
7,20,JHARKHAND,13,BOKARO,36,BOKARO,7,DHANBAD,2007,Pre delimitation,0.95558423443,0.03064938541,346358194.0,4539,5526,6634,0,0,0,0,0,0,0,29,14,1150,327,0,3,0,0.0129348817048494,0.0412316247820854,0.172686471494337,0.184347994625568,4.66869834220575,1.99793374538422,16699,0.3309180190430564,0.3972692975627283,1523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0190413657255416,0.0091923834537097,0.7550886408404465,0.2147078135259356,0.0,0.0019697964543663,0.0,2015,0.0343498326838017,0.0130649504353939,2.67769081721294,1.81711030006409,0.262585739764107,0.263414606451988,670130,
7,20,JHARKHAND,13,BOKARO,37,CHANDANKIYARI (SC),7,DHANBAD,2007,Pre delimitation,1.24158115218,0.05156801319,583044184.0,4774,3676,11,0,0,0,0,0,0,0,23,0,2516,10,0,0,0,0.0644782025391769,0.0811445452272892,0.189629349791887,0.187543600797653,1.3272538215491,0.809378743171692,8461,0.4344640113461765,0.0013000827325375,2549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0090231463318948,0.0,0.9870537465672812,0.0039231071008238,0.0,0.0,0.0,2015,0.0343498326838017,0.0130649504353939,2.67769081721294,1.81711030006409,0.262585739764107,0.263414606451988,670130,
8,20,JHARKHAND,14,RANCHI,65,KANKE (SC),8,RANCHI,2008,Pre delimitation,1.89589012958,0.07099149929,802786800.0,1584,2212,165,0,0,173,1,0,54,22,159,0,2982,122,7,0,0,0.0223632532859834,0.061679732054472,0.282242327264707,0.258216753602028,1.96585308329016,0.59444135427475,3961,0.5584448371623327,0.0416561474375157,3520,0.0,0.0,0.0491477272727272,0.0002840909090909,0.0,0.015340909090909,0.00625,0.0451704545454545,0.0,0.8471590909090909,0.0346590909090909,0.0019886363636363,0.0,0.0,2015,0.0480109192430973,0.0118705997119392,1.98693372528131,0.671172678470612,0.30039689302372,0.283558651804924,977498,
14,20,JHARKHAND,4,HAZARIBAG,23,RAMGARH,14,HAZARIBAGH,2014,Pre delimitation,1.48460820965,0.05731792236,648130269.0,6341,3352,12,0,0,111,8,0,10,13,22,0,2638,37,1,0,0,0.0177763811545164,0.0412342492491007,0.209385852905501,0.195766739547253,1.37612393993727,0.873213708400726,9705,0.3453889747552808,0.0012364760432766,2840,0.0,0.0,0.0390845070422535,0.0028169014084507,0.0,0.0035211267605633,0.0045774647887323,0.0077464788732394,0.0,0.9288732394366196,0.0130281690140845,0.0003521126760563,0.0,0.0,2015,-0.0106424819678068,-0.0319822492308523,0.695830891783461,0.469037264585495,0.299727837154849,0.306260108947754,1449422,
12,20,JHARKHAND,15,LOHARDAGA,72,LOHARDAGA (ST),12,LOHARDAGA (ST),2012,Pre delimitation,2.23203668748,0.13246143041,1498702818.0,2116,6268,1405,0,0,153,857,0,544,307,298,0,4383,21,10,5,0,-0.0222851151101372,0.0370169654488564,0.355195977888077,0.308070808649063,0.375172341263825,0.214171916246414,9789,0.6403105526611502,0.1435284503013586,6578,0.0,0.0,0.0232593493463058,0.1302827607175433,0.0,0.0826999087868653,0.046670720583764,0.0453025235633931,0.0,0.6663119489206446,0.0031924597141988,0.0015202189115232,0.0007601094557616,0.0,2015,0.0189457479864359,-0.0393199726433568,0.437262228539527,0.287547409534454,0.337513499185622,0.304980039596558,1823837,
12,20,JHARKHAND,14,RANCHI,66,MANDAR (ST),12,LOHARDAGA (ST),2012,Pre delimitation,2.15712955269,0.10790944016,1222165661.0,2464,4300,861,0,0,9,10,0,6,27,0,0,5280,3,12,3,0,0.0409906201424547,0.0787008479237556,0.285193323975122,0.258863985538483,0.452393775589799,0.272237539291382,7625,0.5639344262295082,0.1129180327868852,5350,0.0,0.0,0.0016822429906542,0.0018691588785046,0.0,0.0011214953271028,0.0050467289719626,0.0,0.0,0.9869158878504672,0.0005607476635514,0.0022429906542056,0.0005607476635514,0.0,2015,0.0189457479864359,-0.0393199726433568,0.437262228539527,0.287547409534454,0.337513499185622,0.304980039596558,1823837,
12,20,JHARKHAND,16,GUMLA,69,BISHNUPUR (ST),12,LOHARDAGA (ST),2012,Pre delimitation,2.3559616837,0.12944920892,1466541160.0,2175,4703,710,0,6,89,944,0,625,380,573,0,3781,2,11,0,0,-0.0172317138192433,0.0420754365622997,0.354021779639675,0.307866394519806,0.0882111297230751,0.061898197978735,7588,0.6197944122298366,0.0935687928307854,6411,0.0,0.0009358914365933,0.0138823896428014,0.1472469193573545,0.0,0.0974886913118078,0.0592731243175791,0.0893776321946654,0.0,0.5897675869599126,0.0003119638121977,0.0017158009670878,0.0,0.0,2015,0.0189457479864359,-0.0393199726433568,0.437262228539527,0.287547409534454,0.337513499185622,0.304980039596558,1823837,
8,20,JHARKHAND,14,RANCHI,62,KHIJRI (ST),8,RANCHI,2008,Pre delimitation,1.85887610266,0.09126959066,1033451964.0,6934,17274,19006,0,19,124,88,0,136,28,75,35,3911,47,23,10,34,0.0197096521199125,0.0615679360926151,0.273781668931047,0.267633229494095,1.78460650210019,0.64032506942749,43214,0.39973156847318,0.4398111723052714,4530,0.0,0.0041942604856512,0.027373068432671,0.0194260485651214,0.0,0.0300220750551876,0.0061810154525386,0.0165562913907284,0.0077262693156732,0.863355408388521,0.0103752759381898,0.0050772626931567,0.0022075055187637,0.0075055187637969,2015,0.0480109192430973,0.0118705997119392,1.98693372528131,0.671172678470612,0.30039689302372,0.283558651804924,977498,
8,20,JHARKHAND,14,RANCHI,64,HATIA,8,RANCHI,2008,Pre delimitation,0.76565258972,0.01911118275,216420638.0,869,304,0,0,0,0,0,0,0,0,0,0,844,92,0,0,0,0.0533827734151126,0.0788775756955147,0.248343303252226,0.233141399919987,5.32760688706402,1.42189908027649,1173,0.2591645353793691,0.0,936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9017094017094016,0.0982905982905982,0.0,0.0,0.0,2015,0.0480109192430973,0.0118705997119392,1.98693372528131,0.671172678470612,0.30039689302372,0.283558651804924,977498,
