OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,Water_1,Water_2,Water_3,LC_1,LC_2,LC_4,LC_5,LC_8,LC_9,LC_10,LC_11,LC_12,LC_13,LC_14,LC_16,LC_17,NL_mean,NL_median,NDVI_mean,NDVI_median,NDBI_mean,NDBI_median,Water_SUM,Seasonal_Ratio,Permanent_Ratio,LC_SUM,LC_1_ratio,LC_2_ratio,LC_4_ratio,LC_5_ratio,LC_8_ratio,LC_9_ratio,LC_10_ratio,LC_11_ratio,LC_12_ratio,LC_13_ratio,LC_14_ratio,LC_16_ratio,LC_17_ratio,Year,NDBI_median_t_minus_1,NDBI_mean_t_minus_1,NL_mean_t_minus_1,NL_median_t_minus_1,NDVI_mean_t_minus_1,NDVI_median_t_minus_1,Water_SUM_t_minus_1,Water_SUM_t_minus_2
26,19,WEST BENGAL,16,HAORA,178,ULUBERIA DAKSHIN,26,ULUBERIA,1926,,0.62212104045,0.01303244234,1947,2810,13498,0,0,0,0,0,96,9,23,342,2,137,0,43,2.28658895475946,1.57294142246246,0.305484336727118,0.359120935201645,-0.202456846013254,-0.186353892087936,18255,0.1539304300191728,0.7394138592166529,652,0.0,0.0,0.0,0.0,0.0,0.147239263803681,0.013803680981595,0.0352760736196319,0.5245398773006135,0.0030674846625766,0.210122699386503,0.0,0.0659509202453987,2016,-0.176214292645454,-0.186291496337139,4.82370702221862,4.24946045875549,0.191895898841441,0.219874277710915,7290,64433
26,19,WEST BENGAL,16,HAORA,179,SHYAMPUR,26,ULUBERIA,1926,,0.62762541771,0.01855192422,5538,5015,27456,0,0,0,0,0,45,10,25,733,0,9,0,97,1.16675506400568,1.09069991111755,0.28345430771645,0.332772344350815,-0.227980447112053,-0.206684321165085,38009,0.1319424346865216,0.7223552316556605,919,0.0,0.0,0.0,0.0,0.0,0.0489662676822633,0.0108813928182807,0.0272034820457018,0.7976060935799782,0.0,0.0097932535364526,0.0,0.1055495103373231,2016,-0.176214292645454,-0.186291496337139,4.82370702221862,4.24946045875549,0.191895898841441,0.219874277710915,7290,64433
26,19,WEST BENGAL,16,HAORA,180,BAGNAN,26,ULUBERIA,1926,,0.56433043741,0.01092130914,9463,4996,5625,0,0,0,0,0,57,4,15,254,13,169,0,22,2.37962468655787,1.68408864736557,0.352965696590828,0.37684591114521,-0.18998117355879,-0.18614961206913,20084,0.2487552280422226,0.2800736904999004,534,0.0,0.0,0.0,0.0,0.0,0.1067415730337078,0.0074906367041198,0.0280898876404494,0.4756554307116105,0.0243445692883895,0.3164794007490636,0.0,0.0411985018726591,2016,-0.176214292645454,-0.186291496337139,4.82370702221862,4.24946045875549,0.191895898841441,0.219874277710915,7290,64433
26,19,WEST BENGAL,16,HAORA,181,AMTA,26,ULUBERIA,1926,,0.58243951343,0.01605496689,33270,19020,5099,0,0,0,0,0,23,7,10,534,7,207,0,12,1.05836237143332,0.908341437578201,0.370626733695457,0.386913955211639,-0.171403727290877,-0.163487114012241,57389,0.3314223980205266,0.0888497795744829,800,0.0,0.0,0.0,0.0,0.0,0.02875,0.00875,0.0125,0.6675,0.00875,0.25875,0.0,0.015,2016,-0.176214292645454,-0.186291496337139,4.82370702221862,4.24946045875549,0.191895898841441,0.219874277710915,7290,64433
26,19,WEST BENGAL,16,HAORA,182,UDAYNARAYANPUR,26,ULUBERIA,1926,,0.71009010076,0.01373591299,8167,5141,0,0,0,0,0,0,0,0,0,545,13,122,0,0,1.03080442439662,0.963662087917328,0.379114705065315,0.378461048007011,-0.147935127764384,-0.141681268811226,13308,0.3863089870754433,0.0,680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8014705882352942,0.0191176470588235,0.1794117647058823,0.0,0.0,2016,-0.176214292645454,-0.186291496337139,4.82370702221862,4.24946045875549,0.191895898841441,0.219874277710915,7290,64433
27,19,WEST BENGAL,16,HAORA,183,JAGATBALLAVPUR,27,SREERAMPUR,1927,,0.79686913735,0.01445166795,8923,1005,0,0,0,0,0,0,104,0,0,422,52,135,0,0,2.90074770592783,1.5004004240036,0.366686434438315,0.371117889881134,-0.146506871393075,-0.13916502147913,9928,0.1012288477034649,0.0,713,0.0,0.0,0.0,0.0,0.0,0.1458625525946704,0.0,0.0,0.5918653576437588,0.0729312762973352,0.1893408134642356,0.0,0.0,2016,-0.139327421784401,-0.14633505848918,2.63223789568252,1.27508437633514,0.254612437796398,0.255640894174576,10081,198968
27,19,WEST BENGAL,16,HAORA,184,DOMJUR,27,SREERAMPUR,1927,,0.47965148641,0.00553340213,663,1212,2,0,0,0,0,0,135,6,0,0,121,14,0,0,8.66464408470766,7.49603986740112,0.335463720711018,0.354959338903427,-0.139639415862561,-0.130789577960968,1877,0.645711241342568,0.0010655301012253,276,0.0,0.0,0.0,0.0,0.0,0.4891304347826087,0.0217391304347826,0.0,0.0,0.4384057971014493,0.0507246376811594,0.0,0.0,2016,-0.139327421784401,-0.14633505848918,2.63223789568252,1.27508437633514,0.254612437796398,0.255640894174576,10081,198968
27,19,WEST BENGAL,12,HUGLI,185,UTTARPARA,27,SREERAMPUR,1927,,0.17239403162,0.00200175533,360,915,2446,0,0,0,0,0,10,7,0,0,70,0,2,8,9.98881891038683,9.7643461227417,0.23731663486524,0.255099058151245,-0.148173055710438,-0.103410050272942,3721,0.2459016393442623,0.6573501746842246,97,0.0,0.0,0.0,0.0,0.0,0.1030927835051546,0.0721649484536082,0.0,0.0,0.7216494845360825,0.0,0.0206185567010309,0.0824742268041237,2016,-0.139327421784401,-0.14633505848918,2.63223789568252,1.27508437633514,0.254612437796398,0.255640894174576,10081,198968
27,19,WEST BENGAL,12,HUGLI,186,SREERAMPUR,27,SREERAMPUR,1927,,0.2147734007,0.00225678155,768,806,834,0,0,0,0,0,54,4,2,6,46,0,0,1,10.1376660278252,8.5986499786377,0.311926900012209,0.337449759244919,-0.163594182356417,-0.145818531513214,2408,0.3347176079734219,0.3463455149501661,113,0.0,0.0,0.0,0.0,0.0,0.4778761061946903,0.0353982300884955,0.0176991150442477,0.0530973451327433,0.4070796460176991,0.0,0.0,0.0088495575221238,2016,-0.139327421784401,-0.14633505848918,2.63223789568252,1.27508437633514,0.254612437796398,0.255640894174576,10081,198968
27,19,WEST BENGAL,12,HUGLI,187,CHAMPDANI,27,SREERAMPUR,1927,,0.4078054217,0.00389498116,794,935,4752,0,0,0,0,0,37,3,1,16,122,1,1,12,9.55375628111263,9.18152379989624,0.266969165451264,0.291186854243279,-0.156546137165538,-0.12952908873558,6481,0.1442678598981638,0.7332201820706681,193,0.0,0.0,0.0,0.0,0.0,0.1917098445595854,0.0155440414507772,0.005181347150259,0.082901554404145,0.6321243523316062,0.005181347150259,0.005181347150259,0.0621761658031088,2016,-0.139327421784401,-0.14633505848918,2.63223789568252,1.27508437633514,0.254612437796398,0.255640894174576,10081,198968
