OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,HISTO_0,HISTO_1,HISTO_2,HISTO_3,Water_1,Water_2,Water_3,LC_1,LC_2,LC_4,LC_5,LC_6,LC_7,LC_8,LC_9,LC_10,LC_11,LC_12,LC_13,LC_14,LC_16,LC_17,NDBI_mean,NDBI_median,NDVI_mean,NDVI_median,Water_SUM,Seasonal_Ratio,Permanent_Ratio,NL_mean,NL_median,LC_SUM,LC_1_ratio,LC_2_ratio,LC_4_ratio,LC_5_ratio,LC_6_ratio,LC_7_ratio,LC_8_ratio,LC_9_ratio,LC_10_ratio,LC_11_ratio,LC_12_ratio,LC_13_ratio,LC_14_ratio,LC_16_ratio,LC_17_ratio,Year,NDBI_median_t_minus_1,NDBI_mean_t_minus_1,NL_mean_t_minus_1,NL_median_t_minus_1,NDVI_mean_t_minus_1,NDVI_median_t_minus_1,Water_SUM_t_minus_1,Water_SUM_t_minus_2
4,21,ORISSA,6,KENDUJHAR,22,ANANDAPUR (SC),4,KEONJHAR (ST),2104,,2.14064568603,0.06964829995,881603,18211,38098,21080,34602,27494,12712,0,4,115,289,0,0,390,80,90,0,2228,0,143,0,114,-0.0301402932922543,-0.0031405482441186,0.315429792751457,0.31235408782959,74808,0.3675275371618008,0.1699283499091006,0.5270621060367879,0.4408757388591765,3453,0.0,0.0011584129742253,0.0333043730089777,0.0836953373877787,0.0,0.0,0.1129452649869678,0.0231682594845062,0.0260642919200695,0.0,0.6452360266434984,0.0,0.0414132638285548,0.0,0.0330147697654213,2015,0.0433035083115101,0.0136600184634076,2.0114955951581,0.88878470659256,0.326470615310556,0.310842990875244,1182358,
3,21,ORISSA,3,SAMBALPUR,17,SAMBALPUR,3,SAMBALPUR,2103,,0.62079737593,0.01002401674,116712,7755,9917,3633,1216,15512,4383,0,0,0,0,0,0,0,23,62,12,246,150,0,4,0,-0.0833933433821671,-0.0474797748029232,0.243247446080202,0.249012440443039,21111,0.7347828146463928,0.2076168821941168,6.924372554488995,4.30650317668915,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0462776659959758,0.124748490945674,0.0241448692152917,0.4949698189134809,0.3018108651911468,0.0,0.0080482897384305,0.0,2015,-0.0096301920711994,-0.0389877554529281,0.307868329976431,0.248355150222778,0.352857502939304,0.343043580651283,2685246,
3,21,ORISSA,3,SAMBALPUR,18,RAIRAKHOL,3,SAMBALPUR,2103,,3.34658950263,0.28004917935,3818937,11177,20199,5623,7636,23000,5200,0,239,1150,4014,0,0,1509,3661,357,5,2463,3,477,0,4,-0.0823940799686633,-0.0808107331395149,0.357613839614752,0.362741738557816,35836,0.6418127023105257,0.1451054805223797,0.434347189354237,0.3536298647522925,13882,0.0,0.0172165394035441,0.0828410891802333,0.2891514191038755,0.0,0.0,0.1087019161504106,0.2637228065120299,0.0257167555107333,0.0003601786486097,0.1774240023051433,0.0002161071891658,0.0343610430773663,0.0,0.0002881429188877,2015,-0.0096301920711994,-0.0389877554529281,0.307868329976431,0.248355150222778,0.352857502939304,0.343043580651283,2685246,
7,21,ORISSA,8,BALESHWAR,41,SORO (SC),7,BHADRAK (SC),2107,,1.17136659095,0.03967845515,496798,8949,11425,29188,12391,8380,28584,0,0,2,1,0,0,2,0,17,5,1817,2,4,0,117,-0.0254039097933413,0.0094082704745233,0.217505380318186,0.224812902510166,49355,0.1697902948029581,0.5791510485259852,0.7853624476756125,0.644371837377548,1967,0.0,0.0,0.0010167768174885,0.0005083884087442,0.0,0.0,0.0010167768174885,0.0,0.0086426029486527,0.0025419420437214,0.923741738688358,0.0010167768174885,0.0020335536349771,0.0,0.0594814438230808,2015,0.056480810046196,0.005100505024214,0.660038722209099,0.518786728382111,0.253604774166743,0.25891338288784,546360,
1,21,ORISSA,1,BARGARH  *,3,BARGARH,1,BARGARH,2101,,1.172142095,0.04055370721,550851,3797,3713,15,4072,2890,100,0,0,0,0,0,0,0,4,0,0,1989,19,0,0,0,-0.149013143289175,-0.154709368944168,0.314958853966789,0.303745359182358,7062,0.4092325120362503,0.0141602945341263,1.588708680313895,0.9126280546188354,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019880715705765,0.0,0.0,0.9885685884691848,0.0094433399602385,0.0,0.0,0.0,2015,0.068064209073782,0.0377199809079846,1.95290440156909,0.746177196502686,0.245533639280099,0.241399809718132,1155342,
7,21,ORISSA,8,BALESHWAR,42,SIMULIA,7,BHADRAK (SC),2107,,1.44638197523,0.04712094828,639660,5831,3253,33,7897,962,17,0,0,1,0,0,0,1,0,0,0,2332,0,1,0,0,-0.0122207683263513,0.0013594755437225,0.226326383310362,0.228726729750633,8876,0.108382154123479,0.0019152771518702,0.4834676968050739,0.4369214326143265,2335,0.0,0.0,0.0004282655246252,0.0,0.0,0.0,0.0004282655246252,0.0,0.0,0.0,0.9987152034261242,0.0,0.0004282655246252,0.0,0.0,2015,0.056480810046196,0.005100505024214,0.660038722209099,0.518786728382111,0.253604774166743,0.25891338288784,546360,
7,21,ORISSA,9,BHADRAK  *,45,BASUDEVPUR,7,BHADRAK (SC),2107,,1.36623932577,0.05133537279,502636,60222,113381,30593,109797,53950,36096,0,0,0,0,0,0,0,0,115,61,2220,0,0,1,153,-0.0271501842562044,0.0218871021643281,0.197650131789633,0.202547699213028,199843,0.2699619201072842,0.1806217881036613,0.6135808164868566,0.534213811159134,2550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0450980392156862,0.0239215686274509,0.8705882352941177,0.0,0.0,0.000392156862745,0.06,2015,0.056480810046196,0.005100505024214,0.660038722209099,0.518786728382111,0.253604774166743,0.25891338288784,546360,
7,21,ORISSA,9,BHADRAK  *,43,BHANDARIPOKHARI,7,BHADRAK (SC),2107,,1.50594906887,0.04318820889,564217,9025,20798,632,21189,7822,380,0,0,0,0,0,0,0,0,0,0,2138,2,0,0,3,0.0167392475809462,0.0366102419793606,0.242820364462469,0.238362036645412,29391,0.2661358919397094,0.0129291279643428,0.7025074357125185,0.62541475892067,2143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9976668222118524,0.0009332711152589,0.0,0.0,0.0013999066728884,2015,0.056480810046196,0.005100505024214,0.660038722209099,0.518786728382111,0.253604774166743,0.25891338288784,546360,
1,21,ORISSA,1,BARGARH  *,2,BIJEPUR,1,BARGARH,2101,,2.38872123602,0.07952286315,1079224,6448,9101,161,7325,7736,32,0,0,54,0,0,0,11,5,4,0,3872,0,0,0,0,0.0045756441878799,0.047938859090209,0.273536759108651,0.26771005988121,15093,0.5125554892996753,0.0021201881666997,0.693018240494653,0.5154424607753755,3946,0.0,0.0,0.0136847440446021,0.0,0.0,0.0,0.0027876330461226,0.0012671059300557,0.0010136847440446,0.0,0.9812468322351748,0.0,0.0,0.0,0.0,2015,0.068064209073782,0.0377199809079846,1.95290440156909,0.746177196502686,0.245533639280099,0.241399809718132,1155342,
9,21,ORISSA,14,DHENKANAL,58,PARJANGA,9,DHENKANAL,2109,,2.46394245064,0.135877521,1825369,6835,24835,13870,7111,27530,10343,0,85,136,791,0,0,319,848,300,8,3868,0,348,1,28,-0.0140439833926481,0.0135022383183241,0.328272493237174,0.324899882078171,44984,0.6119953761337364,0.2299261959807931,0.6444315905469695,0.4950496703386305,6732,0.0,0.0126262626262626,0.0202020202020202,0.117498514557338,0.0,0.0,0.0473856209150326,0.1259655377302436,0.0445632798573975,0.0011883541295306,0.5745692216280451,0.0,0.0516934046345811,0.0001485442661913,0.0041592394533571,2015,-0.010670093819499,-0.0562848508836002,0.456441605710312,0.272431582212448,0.336226256468875,0.35312882065773,2071557,
7,21,ORISSA,9,BHADRAK  *,44,BHADRAK,7,BHADRAK (SC),2107,,1.10921126598,0.02991867014,403951,5097,2894,12,6162,1743,13,0,0,0,0,0,0,0,1,0,0,1454,23,1,0,0,0.0046020613488099,0.0270489081740379,0.246507274411561,0.242437221109867,7918,0.2201313462995706,0.0016418287446324,1.17272696337755,0.8034762144088745,1479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006761325219743,0.0,0.0,0.9830966869506425,0.015551048005409,0.0006761325219743,0.0,0.0,2015,0.056480810046196,0.005100505024214,0.660038722209099,0.518786728382111,0.253604774166743,0.25891338288784,546360,
8,21,ORISSA,13,JAJAPUR  *,54,SUKINDA,8,JAJPUR (SC),2108,,1.79699040578,0.07448790052,982868,16374,19894,6511,9946,28237,3839,0,14,163,200,0,0,201,99,136,0,2768,22,67,2,14,0.0134510703526494,0.0456785410642624,0.285945208502939,0.269682973623276,42022,0.6719575460473085,0.0913569082861358,4.3181919207994905,1.214472353458405,3686,0.0,0.0037981551817688,0.0442213781877373,0.054259359739555,0.0,0.0,0.0545306565382528,0.0268583830710797,0.0368963646228974,0.0,0.7509495387954422,0.005968529571351,0.0181768855127509,0.0005425935973955,0.0037981551817688,2015,0.0603818148374557,0.0210153235982368,3.86810464011843,1.09510099887848,0.307557782311408,0.282398164272308,1025647,
3,21,ORISSA,15,ANUGUL  *,62,CHHENDIPADA (SC),3,SAMBALPUR,2103,,2.12662297611,0.09045617513,1226750,3637,10810,4298,3641,9826,3390,0,1,386,167,0,0,154,247,138,10,3183,23,182,1,1,0.0161525324169619,0.0323092862963676,0.287378138132341,0.286263704299927,16857,0.5829032449427538,0.201103399181349,1.51933523473775,0.6052542924880979,4493,0.0,0.0002225684397952,0.0859114177609614,0.0371689294458045,0.0,0.0,0.0342755397284665,0.0549744046294235,0.0307144446917427,0.0022256843979523,0.7084353438682395,0.0051190741152904,0.0405074560427331,0.0002225684397952,0.0002225684397952,2015,-0.0096301920711994,-0.0389877554529281,0.307868329976431,0.248355150222778,0.352857502939304,0.343043580651283,2685246,
