OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,Area_AC,Water_1,Water_2,Water_3,LC_1,LC_2,LC_4,LC_5,LC_7,LC_8,LC_9,LC_10,LC_11,LC_12,LC_13,LC_14,LC_16,LC_17,NL_mean,NL_median,NDVI_mean,NDVI_median,NDBI_mean,NDBI_median,Water_SUM,Seasonal_Ratio,Permanent_Ratio,LC_SUM,LC_1_ratio,LC_2_ratio,LC_4_ratio,LC_5_ratio,LC_7_ratio,LC_8_ratio,LC_9_ratio,LC_10_ratio,LC_11_ratio,LC_12_ratio,LC_13_ratio,LC_14_ratio,LC_16_ratio,LC_17_ratio,Year,NDBI_median_t_minus_1,NDBI_mean_t_minus_1,NL_mean_t_minus_1,NL_median_t_minus_1,NDVI_mean_t_minus_1,NDVI_median_t_minus_1,Water_SUM_t_minus_1,Water_SUM_t_minus_2
6,20,JHARKHAND,12,DHANBAD,42,TUNDI,6,GIRIDIH,2006,Pre delimitation,1.63170819441,0.05770615114,650747766.0,795,6558,277,0,0,214,3,0,26,8,81,0,2484,39,2,0,0,1.49691146458215,1.04652452468872,0.286469802849963,0.269289970397949,-0.0004586847419438,0.0327498093247414,7630,0.8595019659239843,0.0363040629095674,2857,0.0,0.0,0.0749037451872593,0.0010500525026251,0.0,0.0091004550227511,0.0028001400070003,0.0283514175708785,0.0,0.8694434721736087,0.0136506825341267,0.00070003500175,0.0,0.0,2018,0.0278443861752748,-0.0067618994200231,1.54629119329844,1.0290629863739,0.306831352516448,0.291707962751389,3923,3923
4,20,JHARKHAND,19,LATEHAR,74,LATEHAR (SC),4,CHATRA,2004,Pre delimitation,2.50284409126,0.16440899248,1855796364.0,1976,5884,819,0,2,803,327,0,220,752,179,0,5585,15,266,0,0,0.451287502869378,0.343263119459152,0.362406637831052,0.347228437662125,-0.0233545889955324,0.00690408796072,8679,0.6779582901255905,0.094365710335292,8149,0.0,0.0002454288869799,0.098539698122469,0.0401276230212295,0.0,0.0269971775677997,0.092281261504479,0.0219658853847097,0.0,0.6853601668916431,0.0018407166523499,0.0326420419683396,0.0,0.0,2018,0.0039702663198113,-0.0246273775178624,0.489922351441721,0.378372982144356,0.360376308551329,0.345567584037781,9176,9175
14,20,JHARKHAND,4,HAZARIBAG,22,BARKAGAON,14,HAZARIBAGH,2014,Pre delimitation,2.05548126598,0.10448482211,1179564769.0,2687,9593,6719,0,8,703,151,0,69,119,388,9,3598,101,9,0,11,1.35551006806976,0.629858374595642,0.321777349369412,0.312313139438629,-0.0477134965403259,-0.0294203963130713,18999,0.5049213116479815,0.3536501921153745,5166,0.0,0.0015485869144405,0.1360820751064653,0.0292295780100658,0.0,0.0133565621370499,0.0230352303523035,0.0751064653503677,0.0017421602787456,0.6964769647696477,0.0195509097948122,0.0017421602787456,0.0,0.0021293070073557,2018,-0.0244278144091368,-0.0466599672837728,1.41431823860343,0.679784536361694,0.313414633935725,0.302465170621872,67095,67094
6,20,JHARKHAND,13,BOKARO,34,GOMIA,6,GIRIDIH,2006,Pre delimitation,2.05019116553,0.09572144556,1080980832.0,9574,18255,37450,5,9,378,151,0,75,25,322,15,3555,89,0,24,102,1.19600971350305,0.72863832116127,0.275803991566861,0.26668992638588,-0.0398538521157901,-0.0007690452621318,65279,0.279645827907903,0.5736913862038328,4750,0.0010526315789473,0.0018947368421052,0.079578947368421,0.0317894736842105,0.0,0.0157894736842105,0.0052631578947368,0.0677894736842105,0.0031578947368421,0.748421052631579,0.0187368421052631,0.0,0.0050526315789473,0.0214736842105263,2018,0.0010658163810148,-0.0449111042104182,1.20485388861363,0.711956858634949,0.280672307731615,0.270545959472656,3923,3923
6,20,JHARKHAND,13,BOKARO,33,DUMRI,6,GIRIDIH,2006,Pre delimitation,0.98147297915,0.0334442873,377333421.0,342,937,51,0,0,90,0,0,0,0,21,0,1531,14,0,0,0,1.0392434231186,0.862264037132263,0.287605837711129,0.270462095737457,0.0118830629068293,0.0428468622267246,1330,0.7045112781954888,0.0383458646616541,1656,0.0,0.0,0.0543478260869565,0.0,0.0,0.0,0.0,0.0126811594202898,0.0,0.9245169082125604,0.0084541062801932,0.0,0.0,0.0,2018,0.0327857695519924,-0.0055432028461642,1.11657950726344,0.948371767997742,0.316877075243317,0.296729534864426,3923,3923
7,20,JHARKHAND,12,DHANBAD,38,SINDRI,7,DHANBAD,2007,Pre delimitation,1.23745694303,0.0486687229,549361673.0,4581,15481,10,0,0,0,0,0,0,1,142,0,2183,91,0,0,0,2.75808460195016,1.89411270618439,0.237827726631992,0.241388544440269,0.0036949397324945,0.0218854770064354,20072,0.7712734157034675,0.0004982064567556,2417,0.0,0.0,0.0,0.0,0.0,0.0,0.0004137360364087,0.0587505171700455,0.0,0.9031857674803476,0.0376499793131981,0.0,0.0,0.0,2018,0.0203259708359838,-0.0040285629039205,2.8456507538241,2.05355405807495,0.250484973284285,0.261817917227745,20072,20072
7,20,JHARKHAND,12,DHANBAD,39,NIRSA,7,DHANBAD,2007,Pre delimitation,0.88706272111,0.03748301508,423136677.0,5310,37250,24641,0,0,0,0,0,0,1,190,21,1423,147,0,17,56,2.69627818864881,1.5835223197937,0.196034924222283,0.220149040222168,-0.0134346568385772,0.024878041818738,67201,0.5543072275710182,0.3666760911295962,1855,0.0,0.0,0.0,0.0,0.0,0.0,0.0005390835579514,0.1024258760107816,0.0113207547169811,0.7671159029649596,0.0792452830188679,0.0,0.0091644204851752,0.030188679245283,2018,0.0078739514574408,-0.0409397180583152,3.07469462705689,1.81292235851288,0.203073520407041,0.247679114341736,20072,20072
4,20,JHARKHAND,19,LATEHAR,73,MANIKA (ST),4,CHATRA,2004,Pre delimitation,2.78901934196,0.21484655684,,7452,11097,261,0,51,1858,2461,0,664,1725,559,0,3267,19,54,0,0,0.309511899711438,0.236316829919815,0.44873301870286,0.479534208774567,-0.115658194194716,-0.143988892436028,18810,0.5899521531100479,0.0138755980861244,10658,0.0,0.0047851379245637,0.1743291424282229,0.2309063614186526,0.0,0.0623006192531431,0.1618502533308313,0.0524488647025708,0.0,0.3065303058735222,0.0017826984424845,0.0050666166260086,0.0,0.0,2018,-0.128556802868843,-0.110316117326833,0.333666952592986,0.266621544957161,0.448548192189006,0.475185588002205,9176,9175
7,20,JHARKHAND,12,DHANBAD,40,DHANBAD,7,DHANBAD,2007,Pre delimitation,0.55165007212,0.01104985096,124743560.0,157,2361,10,0,0,0,0,0,0,5,46,0,206,297,0,0,0,9.96298694329849,9.50793266296387,0.175889727501882,0.182477191090584,-0.0127648264170331,-0.0015172212733887,2528,0.9339398734177216,0.0039556962025316,554,0.0,0.0,0.0,0.0,0.0,0.0,0.0090252707581227,0.0830324909747292,0.0,0.371841155234657,0.5361010830324909,0.0,0.0,0.0,2018,0.0189404720440507,0.0051569012842695,10.1452342924001,10.0908446311951,0.192940549393789,0.206570193171501,20072,20072
6,20,JHARKHAND,12,DHANBAD,43,BAGHMARA,6,GIRIDIH,2006,Pre delimitation,0.57662976168,0.01896335451,214087849.0,1594,4426,49,0,0,0,0,0,0,0,133,0,608,198,0,0,0,4.34881095345409,2.98856258392334,0.210459381372706,0.227893561124802,0.0290834526693007,0.0429789777845144,6069,0.7292799472730268,0.008073817762399,939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.141640042598509,0.0,0.6474973375931843,0.2108626198083067,0.0,0.0,0.0,2018,0.0594636984169483,0.0417678450234804,4.7402253448011,3.24560594558716,0.231750878376971,0.254847332835197,3923,3923
