OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,HISTO_0,HISTO_1,HISTO_2,HISTO_3,Water_1,Water_2,Water_3,LC_2,LC_4,LC_5,LC_8,LC_9,LC_10,LC_11,LC_12,LC_13,LC_14,LC_16,LC_17,NDBI_mean,NDBI_median,NL_mean,NL_median,NDVI_mean,NDVI_median,Water_SUM,Seasonal_Ratio,Permanent_Ratio,LC_SUM,LC_2_ratio,LC_4_ratio,LC_5_ratio,LC_8_ratio,LC_9_ratio,LC_10_ratio,LC_11_ratio,LC_12_ratio,LC_13_ratio,LC_14_ratio,LC_16_ratio,LC_17_ratio,Year,NDBI_median_t_minus_1,NDBI_mean_t_minus_1,NL_mean_t_minus_1,NL_median_t_minus_1,NDVI_mean_t_minus_1,NDVI_median_t_minus_1,Water_SUM_t_minus_1,Water_SUM_t_minus_2
5,10,BIHAR,4,SITAMARHI,25,Parihar,5,SITAMARHI,1005,,0.9694141006,0.02800142147,382991,1337,1194,7,714,1589,1,0,0,0,0,0,0,0,1366,19,0,0,0,-0.190080108167762,-0.199831649661064,0.707443977663893,0.616899371147156,0.359530351797183,0.365678042173386,2304,0.6896701388888888,0.0004340277777777,1385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9862815884476536,0.0137184115523465,0.0,0.0,0.0,2017,-0.227274939417839,-0.219579486469118,0.57367979928776,0.48522475361824,0.430372923656754,0.43980860710144,2275,2303
4,10,BIHAR,2,PURBA CHAMPARAN,21,Dhaka,4,SHEOHAR,1004,,1.10909560202,0.02587272892,352358,2306,1528,1,1335,2295,15,0,0,0,0,0,0,0,1260,9,3,0,0,-0.223519879603861,-0.235650584101677,1.118758894902565,1.000554084777832,0.366643340071111,0.374400615692139,3645,0.6296296296296297,0.0041152263374485,1272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9905660377358492,0.0070754716981132,0.0023584905660377,0.0,0.0,2017,-0.231970608234406,-0.223431074659697,0.679073975126967,0.618545770645142,0.41802203349418,0.427204340696335,3598,3697
2,10,BIHAR,1,PASHCHIM CHAMPARAN,6,Nautan,2,PASCHIM CHAMPARAN,1002,,1.09156163371,0.038715638,398880,82864,50246,1075,99577,26916,3195,0,4,0,0,117,57,0,1662,6,33,1,33,-0.142408448209251,-0.136528387665749,1.053532864071033,0.968711227178574,0.294926147500109,0.298667848110199,129688,0.2075442600703226,0.0246360495959533,1913,0.0,0.0020909566126502,0.0,0.0,0.0611604809200209,0.0297961317302665,0.0,0.8687924725561944,0.0031364349189754,0.0172503920543648,0.0005227391531625,0.0172503920543648,2017,-0.182601928710938,-0.181455719081745,0.851475939853845,0.816728502511978,0.363143045304471,0.373480409383774,2099,2136
2,10,BIHAR,1,PASHCHIM CHAMPARAN,8,Bettiah,2,PASCHIM CHAMPARAN,1002,,0.9634001312,0.02037074147,264378,3943,12082,69,6134,5155,9,0,0,0,0,52,0,0,885,40,28,0,0,-0.177554297338288,-0.175823926925659,1.849226330551511,1.164050459861755,0.313882581505968,0.31750662624836,11298,0.4562754469817667,0.0007966011683483,1005,0.0,0.0,0.0,0.0,0.0517412935323383,0.0,0.0,0.8805970149253731,0.0398009950248756,0.0278606965174129,0.0,0.0,2017,-0.218297131359577,-0.216453114675915,1.491772969924865,1.007946610450745,0.394580875540199,0.40512053668499,2099,2136
5,10,BIHAR,4,SITAMARHI,24,Bathnaha (SC),5,SITAMARHI,1005,,1.2739774254,0.03230047521,436537,4816,3397,1,3197,4553,1,0,0,0,0,0,0,0,1600,0,0,0,0,-0.182609924670105,-0.19300465285778,0.702031517546948,0.62875360250473,0.360189279770581,0.366670042276382,7751,0.5874080763772417,0.0001290156108889,1600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2017,-0.193517923355103,-0.182730475273809,0.523672424606266,0.458394974470139,0.400457167645327,0.409561783075333,2275,2303
3,10,BIHAR,2,PURBA CHAMPARAN,19,Motihari,3,PURVI CHAMPARAN,1003,,1.39607701034,0.02806156802,307937,21221,57203,56,6998,70970,69,0,0,0,0,39,0,0,1298,41,10,0,3,-0.224114759630006,-0.232231006026268,1.496249137845711,1.008167624473572,0.33931609486101,0.352272897958755,78037,0.909440393659418,0.0008841959583274,1391,0.0,0.0,0.0,0.0,0.02803738317757,0.0,0.0,0.9331416247304096,0.0294751976994967,0.0071890726096333,0.0,0.00215672178289,2017,-0.229454219341278,-0.224604108427837,1.157795872154649,0.741595387458801,0.394397099092528,0.409041196107864,68710,75548
4,10,BIHAR,2,PURBA CHAMPARAN,20,Chiraia,4,SHEOHAR,1004,,1.46568965314,0.02945138083,370462,9819,25213,22,3993,30772,10,0,0,0,0,7,0,0,1439,6,3,0,0,-0.257525638551515,-0.272613123059273,1.009073748644046,0.915887236595154,0.388470337367408,0.395464658737183,34775,0.8848885693745507,0.0002875629043853,1455,0.0,0.0,0.0,0.0,0.0048109965635738,0.0,0.0,0.9890034364261168,0.0041237113402061,0.002061855670103,0.0,0.0,2017,-0.248042829334736,-0.23671875952343,0.808873881019198,0.708999037742615,0.429617884326465,0.44028514623642,3598,3697
4,10,BIHAR,4,SITAMARHI,23,Riga,4,SHEOHAR,1004,,1.41909455541,0.02585321262,340092,10791,5074,0,9210,4942,0,0,0,0,0,7,0,0,1258,22,0,0,0,-0.169760001802503,-0.174910962581635,0.952682206630707,0.839729785919189,0.359106847608223,0.365277230739594,14152,0.3492085924250989,0.0,1287,0.0,0.0,0.0,0.0,0.0054390054390054,0.0,0.0,0.9774669774669774,0.017094017094017,0.0,0.0,0.0,2017,-0.164707750082016,-0.160756177031952,0.777567222515742,0.646537899971008,0.379313702490464,0.387247622013092,3598,3697
3,10,BIHAR,2,PURBA CHAMPARAN,13,Harsidhi (SC),3,PURVI CHAMPARAN,1003,,1.26351364246,0.02998724009,393989,7514,11324,47,7878,7275,13,0,0,0,0,4,0,0,1456,11,10,0,6,-0.204488847776202,-0.207227684557438,1.295022353138586,1.177707076072693,0.359680422329883,0.367283090949059,15166,0.479691415007253,0.0008571805354081,1487,0.0,0.0,0.0,0.0,0.0026899798251513,0.0,0.0,0.9791526563550772,0.0073974445191661,0.0067249495628782,0.0,0.0040349697377269,2017,-0.253569170832634,-0.248407771109499,0.871722085046447,0.795106947422028,0.425539828722082,0.440573632717133,68710,75548
3,10,BIHAR,2,PURBA CHAMPARAN,14,Govindganj,3,PURVI CHAMPARAN,1003,,1.30028936166,0.03452147363,372042,40451,61220,1608,67340,21926,4104,0,0,0,0,142,44,0,1498,2,11,5,17,-0.14298832305987,-0.141364812850952,1.084393556569224,0.999675691127777,0.304992354059681,0.313752353191376,93370,0.234829174252972,0.0439541608653743,1719,0.0,0.0,0.0,0.0,0.0826061663757998,0.0255962769051774,0.0,0.8714368819080861,0.0011634671320535,0.0063990692262943,0.0029086678301337,0.0098894706224549,2017,-0.186614081263542,-0.188448047148763,0.744282859978135,0.673958748579025,0.379414465186666,0.393364906311035,68710,75548
7,10,BIHAR,5,MADHUBANI,33,Khajauli,7,JHANJHARPUR,1007,,1.30395888404,0.02827306268,366907,11408,10961,1,19499,5837,0,0,0,0,0,2,0,0,1374,34,0,0,0,-0.155450714101243,-0.164603710174561,1.179500609572672,1.042280197143555,0.370203329820635,0.37727752327919,25336,0.2303836438269655,0.0,1410,0.0,0.0,0.0,0.0,0.001418439716312,0.0,0.0,0.9744680851063828,0.0241134751773049,0.0,0.0,0.0,2017,-0.22281776368618,-0.213584643164491,1.063499741155482,0.934762120246887,0.443285362636356,0.4548020362854,13183,23469
6,10,BIHAR,5,MADHUBANI,31,Harlakhi,6,MADHUBANI,1006,,1.23602594445,0.02863251975,345132,8525,40544,65,4952,44011,57,0,0,0,0,0,0,0,1403,10,0,0,0,-0.181541551564033,-0.190947562456131,0.745898546641791,0.683500051498413,0.368920695156887,0.374040633440018,49020,0.8978172174622603,0.0011627906976744,1413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9929228591648974,0.0070771408351026,0.0,0.0,0.0,2017,-0.200754731893539,-0.197600355474389,0.743179679569844,0.666765689849854,0.411660310851251,0.418320313096046,47361,49051
5,10,BIHAR,4,SITAMARHI,26,Sursand,5,SITAMARHI,1005,,1.2865841371,0.02859544774,285364,37126,71218,28,12250,95918,14,0,0,0,0,6,0,0,1394,13,2,0,0,-0.204503998736062,-0.213657081127167,0.886600011162896,0.746938765048981,0.383270799870173,0.390557259321213,108182,0.8866354846462443,0.0001294115472074,1415,0.0,0.0,0.0,0.0,0.0042402826855123,0.0,0.0,0.9851590106007068,0.0091872791519434,0.0014134275618374,0.0,0.0,2017,-0.22978363931179,-0.222808072015629,0.724649732679108,0.594996213912964,0.438329088589803,0.44849668443203,2275,2303
4,10,BIHAR,3,SHEOHAR *,22,Sheohar,4,SHEOHAR,1004,,1.50111556291,0.04009147284,513719,29068,9229,2,26523,10893,0,0,0,0,0,6,0,0,1979,4,2,0,3,-0.24497434385448,-0.263487622141838,1.330740036773345,1.199351668357849,0.409603759217389,0.424169257283211,37416,0.2911321359846055,0.0,1994,0.0,0.0,0.0,0.0,0.0030090270812437,0.0,0.0,0.9924774322968908,0.0020060180541624,0.0010030090270812,0.0,0.0015045135406218,2017,-0.259333431720734,-0.24469892838972,0.987728313212433,0.880261331796646,0.433582987954136,0.447348803281784,3598,3697
5,10,BIHAR,4,SITAMARHI,28,Sitamarhi,5,SITAMARHI,1005,,0.85388858733,0.01770710286,241432,1590,784,0,823,1236,0,0,0,0,0,16,0,0,837,17,2,0,0,-0.20705694657929,-0.213430114090443,1.493983911143409,1.097791492938995,0.380267942812854,0.39001376926899,2059,0.6002914035939777,0.0,872,0.0,0.0,0.0,0.0,0.018348623853211,0.0,0.0,0.9598623853211008,0.0194954128440367,0.0022935779816513,0.0,0.0,2017,-0.185608305037022,-0.18353162729958,1.232085228844835,0.869804173707962,0.38706604946435,0.396317377686501,2275,2303
10,10,BIHAR,8,KISHANGANJ,53,Thakurganj,10,KISHANGANJ,1010,,2.20388438192,0.05560276973,695243,44324,24242,1765,36520,29063,959,0,0,0,0,2,2,0,2731,0,23,0,0,-0.060805971418892,-0.050986669957638,0.643922309459063,0.57960319519043,0.267949730012251,0.255797669291496,66542,0.4367617444621442,0.0144119503471491,2758,0.0,0.0,0.0,0.0,0.0007251631617113,0.0007251631617113,0.0,0.9902102973168962,0.0,0.0083393763596809,0.0,0.0,2017,-0.037457579746842,-0.059720054859457,0.618492214638687,0.550586044788361,0.289563840163269,0.274792939424515,66422,66537
7,10,BIHAR,5,MADHUBANI,34,Babubarhi,7,JHANJHARPUR,1007,,1.09207093953,0.04006001142,530361,12218,8999,13,16384,5228,0,0,0,0,0,0,0,0,1971,8,0,0,0,-0.08516083269635,-0.085070632398129,0.941969645498739,0.857135713100433,0.337275211135677,0.338654816150665,21612,0.2419026466777716,0.0,1979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9959575543203638,0.0040424456796361,0.0,0.0,0.0,2017,-0.183796942234039,-0.179709762096782,0.689186974991337,0.60033792257309,0.4363594685618,0.44457483291626,13183,23469
9,10,BIHAR,7,ARARIA,46,Narpatganj,9,ARARIA,1009,,1.90827486707,0.05340465009,717917,14473,2940,6,15036,2024,0,0,0,0,0,0,0,0,2564,1,98,0,0,-0.253328850609636,-0.27453576028347,1.004366839616655,0.918891787528992,0.438219906224921,0.444117680191994,17060,0.1186400937866354,0.0,2663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9628238828389036,0.0003755163349605,0.0368006008261359,0.0,0.0,2017,-0.298623785376549,-0.275628262199547,0.89084207376718,0.795418828725815,0.47403827787339,0.494274243712425,16917,17073
5,10,BIHAR,4,SITAMARHI,27,Bajpatti,5,SITAMARHI,1005,,1.35078625951,0.02681474582,321708,23144,24337,1,4925,42907,1,0,0,0,0,0,0,0,1318,14,0,0,0,-0.20738180342903,-0.214862860739231,0.823497548149148,0.765395164489746,0.391834719501253,0.395772278308868,47833,0.8970167039491564,2.0906069031839943e-05,1332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9894894894894894,0.0105105105105105,0.0,0.0,0.0,2017,-0.232722945511341,-0.232937944077722,0.636876851994019,0.57468980550766,0.443968876178116,0.447571486234665,2275,2303
4,10,BIHAR,2,PURBA CHAMPARAN,18,Madhuban,4,SHEOHAR,1004,,1.23971009425,0.02576246317,336220,5738,12706,65,3431,15099,64,0,0,0,0,14,0,0,1238,10,14,0,2,-0.238609701555409,-0.248720407485962,0.98858805623709,0.920649170875549,0.382520243374482,0.391903698444366,18594,0.8120361406905453,0.0034419705281273,1278,0.0,0.0,0.0,0.0,0.0109546165884194,0.0,0.0,0.9687010954616588,0.0078247261345852,0.0109546165884194,0.0,0.001564945226917,2017,-0.254080414772034,-0.24538417073446,0.53743045332385,0.491451382637024,0.430367878498179,0.439934015274048,3598,3697
17,10,BIHAR,15,GOPALGANJ,102,Kuchaikote,17,GOPALGANJ (SC),1017,,1.07437244705,0.03226234282,414450,10876,18224,686,13493,12164,1230,0,0,0,0,7,31,0,1557,2,0,0,1,-0.222107021130837,-0.227634929120541,1.572203405943227,1.361712694168091,0.359775460959719,0.367541685700417,26887,0.4524119462937479,0.0457470152861977,1598,0.0,0.0,0.0,0.0,0.0043804755944931,0.0193992490613266,0.0,0.974342928660826,0.0012515644555694,0.0,0.0,0.0006257822277847,2017,-0.261883661150932,-0.253431035870359,1.291098068058304,1.131826400756836,0.434279905422613,0.449346914887428,26909,26914
17,10,BIHAR,15,GOPALGANJ,103,Bhorey (SC),17,GOPALGANJ (SC),1017,,1.21539351579,0.03757802549,509321,4362,3719,1,4716,296,2,0,0,0,0,0,0,0,1856,7,0,0,0,-0.261440578229549,-0.276752978563309,1.229935963606565,1.14666748046875,0.409350064894139,0.417560875415802,5014,0.0590347028320702,0.0003988831272437,1863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9962426194310252,0.0037573805689747,0.0,0.0,0.0,2017,-0.316772907972336,-0.295685655729876,0.861724137314037,0.802764296531677,0.488971515545218,0.507342278957367,26909,26914
17,10,BIHAR,15,GOPALGANJ,101,Gopalganj,17,GOPALGANJ (SC),1017,,1.19334281074,0.03019993438,289979,58719,63064,4088,83115,27257,5520,0,0,0,0,133,74,0,1204,38,0,19,33,-0.166072837954478,-0.16901945322752,1.871723734634776,1.391991376876831,0.299317884072136,0.316453352570534,115892,0.235193110827322,0.0476305525834397,1501,0.0,0.0,0.0,0.0,0.0886075949367088,0.0493004663557628,0.0,0.8021319120586275,0.0253164556962025,0.0,0.0126582278481012,0.0219853431045969,2017,-0.200473643839359,-0.193595123878676,1.361695258434002,0.862170398235321,0.370814521194331,0.393474102020264,26909,26914
7,10,BIHAR,5,MADHUBANI,40,Laukaha,7,JHANJHARPUR,1007,,1.36381752591,0.05063090044,682228,11266,3648,4,12385,3716,0,0,0,0,0,0,0,0,2493,10,0,0,0,-0.069351866620423,-0.069173604249954,0.902087986137737,0.83302640914917,0.316803778224331,0.318767130374908,16101,0.2307931184398484,0.0,2503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9960047942469036,0.0039952057530962,0.0,0.0,0.0,2017,-0.147059485316277,-0.145981544434149,0.66314541133188,0.586016535758972,0.406570305947924,0.408789917826653,13183,23469
8,10,BIHAR,6,SUPAUL *,45,Chhatapur,8,SUPAUL,1008,,1.73445052519,0.04903432097,498618,144018,30014,2489,130939,39513,5297,0,0,0,0,8,77,0,2191,5,46,103,0,-0.194912057789922,-0.218484237790108,0.987648360037129,0.88996547460556,0.371403315475422,0.389014631509781,175749,0.2248263148012222,0.0301395740516304,2430,0.0,0.0,0.0,0.0,0.0032921810699588,0.0316872427983539,0.0,0.9016460905349796,0.0020576131687242,0.0189300411522633,0.0423868312757201,0.0,2017,-0.263195902109146,-0.234344308920324,0.893554417262951,0.791602194309235,0.435196943249582,0.47095575928688,175377,175937
3,10,BIHAR,2,PURBA CHAMPARAN,16,Kalyanpur,3,PURVI CHAMPARAN,1003,,1.30765890797,0.02935957843,382620,11187,10422,0,15531,3461,0,0,0,0,0,30,0,0,1426,0,2,0,3,-0.188554878949874,-0.189474374055862,1.247838139022632,1.184372425079346,0.354076476296599,0.359850496053696,18992,0.1822346251053075,0.0,1461,0.0,0.0,0.0,0.0,0.0205338809034907,0.0,0.0,0.976043805612594,0.0,0.001368925393566,0.0,0.002053388090349,2017,-0.224398270249367,-0.224275530175466,0.92019805465566,0.827911257743835,0.411908261379818,0.420915514230728,68710,75548
4,10,BIHAR,4,SITAMARHI,30,Belsand,4,SHEOHAR,1004,,0.76556300625,0.01221026502,159330,6393,2398,0,5436,3054,0,0,0,0,0,0,0,0,608,0,0,0,0,-0.205101181074364,-0.212031066417694,1.193097139602831,1.061232328414917,0.386566560498017,0.394824206829071,8490,0.3597173144876325,0.0,608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2017,-0.212374106049538,-0.207233714733739,1.04818814379183,0.873379111289978,0.398912749515508,0.406125366687775,3598,3697
6,10,BIHAR,5,MADHUBANI,32,Benipatti,6,MADHUBANI,1006,,1.37479460437,0.02678812592,313161,13103,42522,16,13997,44161,10,0,0,0,0,0,0,0,1318,11,0,0,0,-0.156789711378983,-0.163362130522728,0.987140392678586,0.889427185058594,0.363556658932008,0.367197513580322,58168,0.7591974969055151,0.0001719158300096,1329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9917231000752446,0.0082768999247554,0.0,0.0,0.0,2017,-0.194641947746277,-0.19321755211435,0.814256304520427,0.734235405921936,0.428291456421856,0.433201968669891,47361,49051
3,10,BIHAR,2,PURBA CHAMPARAN,17,Pipra,3,PURVI CHAMPARAN,1003,,2.1628358767,0.03526278678,444723,13026,27633,97,10643,29473,71,0,0,0,0,27,0,0,1649,16,45,0,5,-0.212530197388072,-0.221652060747147,1.237122269394196,1.061847269535065,0.361940413497803,0.368846774101257,40187,0.733396371961082,0.0017667404882175,1742,0.0,0.0,0.0,0.0,0.0154994259471871,0.0,0.0,0.9466130884041332,0.0091848450057405,0.0258323765786452,0.0,0.0028702640642939,2017,-0.239796549081802,-0.23391295059275,0.753468801896141,0.625866740942001,0.414491060057309,0.423231810331345,68710,75548
10,10,BIHAR,8,KISHANGANJ,54,Kishanganj,10,KISHANGANJ,1010,,1.41533333258,0.03617565441,465353,16775,14218,1752,12912,17641,1516,0,0,0,0,4,0,0,1629,7,152,0,0,-0.028432123680098,-0.013172668870538,0.597357850740448,0.531591653823853,0.24274648911735,0.243439137935638,32069,0.5500951074246156,0.0472730674483145,1792,0.0,0.0,0.0,0.0,0.0022321428571428,0.0,0.0,0.9090401785714286,0.00390625,0.0848214285714285,0.0,0.0,2017,-0.003680326743051,-0.021819276662945,0.641882647926278,0.554489016532898,0.283366948836724,0.283652752637863,66422,66537
3,10,BIHAR,2,PURBA CHAMPARAN,15,Kesaria,3,PURVI CHAMPARAN,1003,,1.26075463789,0.03283765346,354444,23649,69609,4446,38129,22530,5677,0,0,0,0,116,39,0,1434,0,6,9,23,-0.175894903264617,-0.173030637204647,0.971357218610744,0.904722183942795,0.328538687941463,0.341420263051987,66336,0.3396345875542692,0.0855794741919922,1627,0.0,0.0,0.0,0.0,0.0712968653964351,0.0239704978488014,0.0,0.8813767670559312,0.0,0.0036877688998156,0.0055316533497234,0.0141364474492931,2017,-0.202003061771393,-0.204254112448543,0.660484663703862,0.592382609844208,0.378981637032519,0.397127404808998,68710,75548
5,10,BIHAR,4,SITAMARHI,29,Runnisaidpur,5,SITAMARHI,1005,,1.31176953116,0.02712597963,341046,27604,4868,0,13619,19294,0,0,0,0,0,0,0,0,1344,0,0,0,0,-0.241972422244547,-0.253629580140114,1.044288977426255,0.907029688358307,0.413300898864848,0.423464074730873,32913,0.5862121350226355,0.0,1344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2017,-0.264953777194023,-0.25664284436202,0.870447703326742,0.729587018489838,0.44079349728194,0.44948248565197,2275,2303
