OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,HISTO_0,HISTO_1,HISTO_2,HISTO_3,Water_1,Water_2,Water_3,LC_1,LC_2,LC_3,LC_4,LC_5,LC_6,LC_7,LC_8,LC_9,LC_10,LC_11,LC_12,LC_13,LC_14,LC_16,LC_17,NDBI_mean,NDBI_median,NL_mean,NL_median,NDVI_mean,NDVI_median,Water_SUM,Seasonal_Ratio,Permanent_Ratio,LC_SUM,LC_1_ratio,LC_2_ratio,LC_3_ratio,LC_4_ratio,LC_5_ratio,LC_6_ratio,LC_7_ratio,LC_8_ratio,LC_9_ratio,LC_10_ratio,LC_11_ratio,LC_12_ratio,LC_13_ratio,LC_14_ratio,LC_16_ratio,LC_17_ratio,Year,NDBI_median_t_minus_1,NDBI_mean_t_minus_1,NL_mean_t_minus_1,NL_median_t_minus_1,NDVI_mean_t_minus_1,NDVI_median_t_minus_1,Water_SUM_t_minus_1,Water_SUM_t_minus_2
6,21,ORISSA,8,BALESHWAR,35,JALESWAR,6,BALASORE,2106,,1.54363294463,0.04352318056,564065,13947,19313,1960,15730,17066,1774,0,0,0,0,5,0,0,0,0,3,0,2064,0,25,0,59,-0.0968440362279185,-0.0797478035092354,0.716493907063595,0.58639669418335,0.22484657308183,0.223667368292809,34570,0.4936650274804744,0.0513161700896731,2156,0.0,0.0,0.0,0.0,0.0023191094619666,0.0,0.0,0.0,0.0,0.0013914656771799,0.0,0.9573283858998144,0.0,0.011595547309833,0.0,0.0273654916512059,2018,-0.0814808905124664,-0.103563699939554,0.698353907034567,0.60307115316391,0.299535761768094,0.299234509468079,34235,33918
1,21,ORISSA,2,JHARSUGUDA  *,7,JHARSUGUDA,1,BARGARH,2101,,1.56734318384,0.08391059837,1122042,7569,24098,1633,8584,22107,1139,0,2,0,19,118,0,0,40,8,60,0,3841,46,33,0,0,0.0147992648863705,0.0432053059339523,1.76846834676576,0.562258422374725,0.322245255941469,0.313294813036919,31830,0.6945334590009425,0.0357838517122211,4167,0.0,0.0004799616030717,0.0,0.0045596352291816,0.0283177345812335,0.0,0.0,0.009599232061435,0.001919846412287,0.0143988480921526,0.0,0.921766258699304,0.0110391168706503,0.0079193664506839,0.0,0.0,2018,0.0498552322387695,0.0195820331855246,1.7951884368007,0.764192402362823,0.273763769565594,0.269872516393661,31830,31819
4,21,ORISSA,6,KENDUJHAR,24,KEONJHAR (ST),4,KEONJHAR (ST),2104,,2.30034389086,0.09235723405,1257621,3086,6546,4415,1954,7804,4020,0,22,0,214,266,0,0,306,483,490,3,2730,25,31,3,1,-0.0302938127548501,-0.00956448353827,0.836975148509471,0.524901419878006,0.344943906063647,0.340483605861664,13778,0.5664102191900131,0.2917694875889098,4574,0.0,0.004809794490599,0.0,0.0467861827721906,0.0581547879317883,0.0,0.0,0.0668998688237866,0.1055968517708788,0.1071272409269785,0.0006558810668998,0.5968517708788806,0.0054656755574989,0.0067774376912986,0.0006558810668998,0.0002186270222999,2018,0.0539688859134912,0.0289984855584305,0.794526418000265,0.545195370912552,0.277808619096825,0.266868099570274,15588,15589
4,21,ORISSA,6,KENDUJHAR,23,PATNA (ST),4,KEONJHAR (ST),2104,,2.31802725995,0.10309037927,1402019,3067,10480,3890,1889,11965,3267,0,0,0,0,171,0,0,37,6,38,0,4759,0,101,0,0,0.0172456493635356,0.0458057299256325,0.390518067157683,0.355032876133919,0.32025920929477,0.312862083315849,17121,0.6988493662753343,0.1908182933239881,5112,0.0,0.0,0.0,0.0,0.0334507042253521,0.0,0.0,0.0072378716744913,0.0011737089201877,0.007433489827856,0.0,0.9309467918622848,0.0,0.0197574334898278,0.0,0.0,2018,0.083739448338747,0.0549628101780035,0.441898978113149,0.407815292477608,0.267175438647914,0.252781197428703,15588,15589
4,21,ORISSA,7,MAYURBHANJ,30,KARANJIA (ST),4,KEONJHAR (ST),2104,,3.15945493084,0.16891162162,2315174,2019,7442,1102,970,6334,478,0,1776,0,53,1180,0,0,1962,79,46,0,2831,2,421,0,12,-0.0890684173593554,-0.0821714326739311,0.294974718914832,0.233700215816498,0.416590681404481,0.406849771738052,7782,0.8139295810845542,0.0614237985093806,8362,0.0,0.2123893805309734,0.0,0.0063381966036833,0.1411145658933269,0.0,0.0,0.234632862951447,0.009447500597943,0.0055010762975364,0.0,0.3385553695288208,0.0002391772303276,0.0503468069839751,0.0,0.001435063381966,2018,-0.0467328168451786,-0.0591969013909417,0.364556921071663,0.303810954093933,0.375499362664445,0.362879306077957,15588,15589
1,21,ORISSA,2,JHARSUGUDA  *,6,BRAJARAJNAGAR,1,BARGARH,2101,,2.0740379374,0.10099132798,935811,28677,244293,181743,35974,235128,179769,0,0,0,49,292,0,0,30,25,988,311,2349,138,2,25,791,-0.106768710182968,-0.0356397032737732,1.4279731403722,0.549893379211426,0.199832455552626,0.296633049845695,450871,0.5214972797097174,0.3987149317654052,5000,0.0,0.0,0.0,0.0098,0.0584,0.0,0.0,0.006,0.005,0.1976,0.0622,0.4698,0.0276,0.0004,0.005,0.1582,2018,-0.0156600866466761,-0.0824175172162704,1.41902368631422,0.648069322109222,0.140942635978545,0.229540571570396,31830,31819
6,21,ORISSA,7,MAYURBHANJ,32,BADASAHI (SC),6,BALASORE,2106,,1.54472019678,0.05080744972,686698,5519,7058,257,3657,8668,185,0,0,0,0,22,0,0,0,0,0,0,2445,0,44,0,2,0.0206608096580975,0.0546213928610086,0.562938934187644,0.510509073734283,0.290501208101532,0.279752045869827,12510,0.6928856914468425,0.0147881694644284,2513,0.0,0.0,0.0,0.0,0.0087544767210505,0.0,0.0,0.0,0.0,0.0,0.0,0.9729407083167528,0.0,0.017508953442101,0.0,0.0007958615200955,2018,0.0658134296536446,0.0328123086069845,0.619966620760473,0.563440591096878,0.296722367600157,0.28192001581192,34235,33918
6,21,ORISSA,8,BALESHWAR,36,BHOGRAI,6,BALASORE,2106,,0.93723227488,0.03042636553,329766,49034,24993,15163,53264,19464,14135,0,0,0,0,0,0,0,0,13,93,36,1163,0,160,10,40,-0.164256467298556,-0.163023799657822,0.670510755617252,0.603223860263824,0.238036863020925,0.243034914135933,86863,0.2240769948079159,0.1627275134407055,1515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085808580858085,0.0613861386138613,0.0237623762376237,0.7676567656765677,0.0,0.1056105610561056,0.0066006600660066,0.0264026402640264,2018,-0.21067101508379,-0.201921743286602,0.68900845056204,0.606905102729797,0.34431772280028,0.371311873197556,34235,33918
4,21,ORISSA,6,KENDUJHAR,20,TELKOI (ST),4,KEONJHAR (ST),2104,,3.66148575551,0.26186113666,3587093,4643,9798,4064,2743,11524,4066,0,794,0,381,2734,0,0,1660,2934,1039,4,2803,0,638,0,0,-0.0501332166989222,-0.0311537059023976,0.306098321971844,0.242106668651104,0.372093124649506,0.362960129976273,18333,0.6285932471499481,0.22178585065183,12987,0.0,0.0611380611380611,0.0,0.0293370293370293,0.2105182105182105,0.0,0.0,0.1278201278201278,0.2259182259182259,0.08000308000308,0.0003080003080003,0.2158312158312158,0.0,0.0491260491260491,0.0,0.0,2018,0.0147368502803147,-0.0085125097285656,0.385180841135632,0.312889456748962,0.321877804971934,0.310702279210091,15588,15589
6,21,ORISSA,8,BALESHWAR,37,BASTA,6,BALASORE,2106,,1.75398916699,0.03880654806,402841,68261,26445,36781,59390,35974,35407,0,0,0,0,0,0,0,0,5,48,14,1658,0,28,5,161,-0.0897204322542923,-0.070473313331604,0.707323379611501,0.661514341831207,0.189500757920009,0.198991134762764,130771,0.2750915722904925,0.2707557485986954,1919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026055237102657,0.0250130276185513,0.0072954663887441,0.8639916623241272,0.0,0.0145909327774882,0.0026055237102657,0.0838978634705575,2018,-0.100416898727417,-0.114372936142228,0.716724291346325,0.665483057498932,0.254136956907894,0.272536039352417,34235,33918
5,21,ORISSA,7,MAYURBHANJ,31,UDALA (ST),5,MAYURBHANJ (ST),2105,,1.76994629727,0.05811612426,782457,2769,8167,6801,2177,9018,6384,0,0,0,3,34,0,0,148,1,10,1,2552,0,99,0,34,0.0156518549468359,0.0466510821133852,0.463386849024546,0.400862544775009,0.307579166289165,0.302809327840805,17579,0.5129984640764549,0.3631605893395528,2882,0.0,0.0,0.0,0.0010409437890353,0.0117973629424011,0.0,0.0,0.051353226925746,0.0003469812630117,0.0034698126301179,0.0003469812630117,0.8854961832061069,0.0,0.0343511450381679,0.0,0.0117973629424011,2018,0.0507735349237919,0.0234273178386255,0.493168312887958,0.447100609540939,0.303851183703613,0.298884987831116,13822,13907
3,21,ORISSA,3,SAMBALPUR,16,RENGALI (SC),3,SAMBALPUR,2103,,2.7698832668,0.09568037962,1118117,22765,82852,93699,19941,85374,91153,0,0,0,220,117,1,0,40,53,434,54,3404,35,24,26,337,-0.115233042803569,-0.0777408257126808,1.58187599055527,0.753056704998016,0.292511688689863,0.330282032489777,196468,0.4345440478856607,0.4639585072378199,4745,0.0,0.0,0.0,0.0463645943097997,0.0246575342465753,0.0002107481559536,0.0,0.0084299262381454,0.0111696522655426,0.0914646996838777,0.0113804004214963,0.7173867228661749,0.0073761854583772,0.0050579557428872,0.0054794520547945,0.0710221285563751,2018,-0.041851956397295,-0.0873530405623923,1.6590626998444,0.861226797103882,0.199372119621247,0.236742228269577,10411,10404
3,21,ORISSA,4,DEBAGARH  *,19,DEOGARH,3,SAMBALPUR,2103,,3.64445376509,0.25213744912,3170285,17851,151807,131717,17707,153951,128491,0,363,0,1094,1791,0,0,1024,1852,718,75,4255,0,800,29,504,-0.0751756386923917,-0.0532129518687725,0.313216093954461,0.237770810723305,0.359814374874662,0.371568620204926,300149,0.5129152520914613,0.4280907149449107,12505,0.0,0.0290283886445421,0.0,0.0874850059976009,0.1432227109156337,0.0,0.0,0.0818872451019592,0.1481007596961215,0.0574170331867253,0.0059976009596161,0.3402638944422231,0.0,0.0639744102359056,0.0023190723710515,0.0403038784486205,2018,-0.0070442834403365,-0.0511718328313284,0.391065605152953,0.327927425503731,0.301459390645006,0.303455635905266,10411,10404
1,21,ORISSA,1,BARGARH  *,5,BHATLI,1,BARGARH,2101,,2.6634395357,0.1405586326,1832384,11640,61669,29654,15002,57400,29740,0,0,0,682,11,0,0,9,47,746,85,5253,0,2,3,131,-0.0209473401848206,0.0163406636565924,0.429691478872141,0.339120358228683,0.330342186573155,0.337586671113968,102142,0.5619627577294355,0.2911632824890838,6969,0.0,0.0,0.0,0.0978619601090543,0.0015784187114363,0.0,0.0,0.0012914334911752,0.0067441526761371,0.1070454871574114,0.0121968718610991,0.7537666810159277,0.0,0.0002869852202611,0.0004304778303917,0.0187975319271057,2018,0.0306279342621565,-0.0024640708184546,0.537943447563011,0.432959601283073,0.297555389243764,0.309500306844711,31830,31819
6,21,ORISSA,8,BALESHWAR,38,BALASORE,6,BALASORE,2106,,1.49825074253,0.03437562531,287114,81719,46521,57988,33733,91933,57215,0,0,0,0,0,0,0,0,5,121,18,1319,40,6,4,195,-0.0459033521294059,0.0328879971057177,1.96760556130808,0.896349310874939,0.163937167951472,0.208298675715923,182881,0.5026930080216097,0.3128537136170515,1708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002927400468384,0.0708430913348946,0.0105386416861826,0.772248243559719,0.0234192037470726,0.0035128805620608,0.0023419203747072,0.1141686182669789,2018,0.0303934486582875,-0.0446244592219018,1.75295965974011,0.90078741312027,0.188676603376636,0.234626740217209,34235,33918
6,21,ORISSA,8,BALESHWAR,39,REMUNA (SC),6,BALASORE,2106,,1.96095262952,0.03895355793,445412,22547,27101,41277,12928,34441,40691,0,0,0,0,0,0,0,0,0,124,5,1627,9,0,13,153,-0.0150467162968241,0.0587741322815418,1.75120080830322,1.14203482866287,0.203262975614422,0.228763490915298,88060,0.3911083352259822,0.4620826709062003,1931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064215432418436,0.0025893319523562,0.8425686172967375,0.0046607975142413,0.0,0.0067322630761263,0.0792335577421025,2018,0.0551757253706455,-0.0080720728679778,1.68595388215449,1.13832175731659,0.228529766383634,0.247563168406487,34235,33918
9,21,ORISSA,15,ANUGUL  *,59,PALLAHARA,9,DHENKANAL,2109,,2.99051146901,0.15045544241,1871103,9577,93355,97522,11244,96155,91813,6,424,0,328,688,0,0,336,1246,419,53,3069,0,495,18,369,-0.0703293208095241,-0.0422801524400711,0.480205372948669,0.335645020008087,0.322992022994494,0.335906326770782,199212,0.4826767463807401,0.4608808706302833,7451,0.0008052610387867,0.0569051134075963,0.0,0.0440209367870084,0.0923365991142128,0.0,0.0,0.0450946181720574,0.1672258757213796,0.0562340625419406,0.0071131391759495,0.4118910213394175,0.0,0.066434035699906,0.0024157831163602,0.0495235538853845,2018,0.0064251068979501,-0.0410870205086264,0.578149313355819,0.430683597922325,0.256759097653286,0.277283012866974,199174,199156
4,21,ORISSA,6,KENDUJHAR,21,GHASIPURA,4,KEONJHAR (ST),2104,,3.13324714048,0.11106655872,1505451,6618,15005,2145,4073,16782,2387,0,1,0,20,844,0,0,396,95,54,0,3836,5,251,0,8,-0.0051158496716511,0.0203027669340372,0.483061521566724,0.334246218204498,0.333400254536983,0.323332548141479,23242,0.7220549006109629,0.1027020049909646,5510,0.0,0.0001814882032667,0.0,0.0036297640653357,0.1531760435571688,0.0,0.0,0.0718693284936479,0.0172413793103448,0.0098003629764065,0.0,0.6961887477313975,0.0009074410163339,0.0455535390199637,0.0,0.0014519056261343,2018,0.0546239651739597,0.0325789405594268,0.561070561308551,0.38591194152832,0.279910766657081,0.272920697927475,15588,15589
6,21,ORISSA,8,BALESHWAR,40,NILGIRI,6,BALASORE,2106,,1.61583712239,0.06548531185,896004,1762,3765,120,1619,3659,35,0,252,0,333,202,0,0,247,12,14,2,2135,0,47,0,0,-0.0539142581080332,-0.029432250186801,0.601758123943467,0.492807880043983,0.356577569156223,0.335855007171631,5313,0.6886881234707322,0.0065876152832674,3244,0.0,0.0776818742293464,0.0,0.1026510480887792,0.0622688039457459,0.0,0.0,0.0761405672009864,0.0036991368680641,0.0043156596794081,0.000616522811344,0.658138101109741,0.0,0.0144882860665844,0.0,0.0,2018,-0.0148069262504578,-0.039247869876787,0.628559440480154,0.518939465284348,0.354129407484827,0.335309326648712,34235,33918
1,21,ORISSA,1,BARGARH  *,4,ATTABIRA (SC),1,BARGARH,2101,,1.72757378811,0.08799553665,1088096,11310,25937,86247,10586,26743,85579,1,0,0,241,10,0,0,5,46,281,56,3414,0,3,5,294,-0.238116610265998,-0.284876719117165,0.61095986771488,0.500397324562073,0.373720321072322,0.413891091942787,122908,0.2175855111140039,0.6962850261984573,4356,0.0002295684113865,0.0,0.0,0.0553259871441689,0.0022956841138659,0.0,0.0,0.0011478420569329,0.0105601469237832,0.0645087235996327,0.0128558310376492,0.7837465564738292,0.0,0.0006887052341597,0.0011478420569329,0.0674931129476584,2018,-0.266128540039062,-0.224618785407984,0.736495323757399,0.617327630519867,0.255513385730421,0.282926648855209,31830,31819
4,21,ORISSA,6,KENDUJHAR,22,ANANDAPUR (SC),4,KEONJHAR (ST),2104,,2.14064568603,0.06964829995,881603,18211,38098,21080,14799,43159,17859,0,7,0,170,296,0,0,365,46,78,2,2251,0,124,0,114,-0.0237490547568966,0.0126422429457307,0.466865148451352,0.401078179478645,0.318442633886094,0.320364013314247,75817,0.5692522785127346,0.2355540314177559,3453,0.0,0.0020272227048942,0.0,0.0492325514045757,0.085722560092673,0.0,0.0,0.1057051838980596,0.013321749203591,0.0225890529973935,0.0005792064871126,0.651896901245294,0.0,0.0359108022009846,0.0,0.0330147697654213,2018,0.0267061088234186,-0.0048815490200852,0.536989697893323,0.463759660720825,0.292206173776695,0.290894389152527,15588,15589
3,21,ORISSA,3,SAMBALPUR,17,SAMBALPUR,3,SAMBALPUR,2103,,0.62079737593,0.01002401674,116712,7755,9917,3633,6196,11577,3324,0,0,0,0,0,0,0,0,25,62,14,240,152,2,2,0,-0.0900758121408075,-0.0537697896361351,6.88777371106843,4.33034300804138,0.310177805904081,0.318998664617538,21097,0.5487510072522159,0.1575579466274825,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0503018108651911,0.124748490945674,0.028169014084507,0.482897384305835,0.3058350100603622,0.0040241448692152,0.0040241448692152,0.0,2018,-0.0149221289902925,-0.053447856779605,7.0808680744065,4.43109965324402,0.229961862855065,0.234080284833908,10411,10404
3,21,ORISSA,3,SAMBALPUR,18,RAIRAKHOL,3,SAMBALPUR,2103,,3.34658950263,0.28004917935,3818937,11177,20199,5623,8494,25198,2139,0,216,0,2244,3380,0,0,1204,3493,307,3,2661,3,367,0,4,-0.100483079063536,-0.107575461268425,0.348858854610636,0.26490880548954,0.424170575885256,0.435580089688301,35831,0.7032457927492953,0.0596969104964974,13882,0.0,0.0155597176199394,0.0,0.161648177496038,0.2434807664601642,0.0,0.0,0.0867310185852182,0.2516208039187437,0.0221149690246362,0.0002161071891658,0.1916870767900879,0.0002161071891658,0.0264371128079527,0.0,0.0002881429188877,2018,-0.121479023247957,-0.110438124199382,0.431342603283199,0.34555447101593,0.422321711123131,0.43148547410965,10411,10404
7,21,ORISSA,8,BALESHWAR,41,SORO (SC),7,BHADRAK (SC),2107,,1.17136659095,0.03967845515,496798,8949,11425,29188,9836,11021,28532,0,0,0,2,4,0,0,3,0,24,3,1807,2,5,0,117,-0.0097714656005464,0.0556265041232109,0.855378194978123,0.679655969142914,0.23332366305859,0.244521453976631,49389,0.2231468545627569,0.5776994877401851,1967,0.0,0.0,0.0,0.0010167768174885,0.0020335536349771,0.0,0.0,0.0015251652262328,0.0,0.0122013218098627,0.0015251652262328,0.9186578546009152,0.0010167768174885,0.0025419420437214,0.0,0.0594814438230808,2018,0.0470327585935593,-0.004270860820162,0.791010612951549,0.650856554508209,0.253518116609814,0.262624695897102,47226,49167
1,21,ORISSA,1,BARGARH  *,3,BARGARH,1,BARGARH,2101,,1.172142095,0.04055370721,550851,3797,3713,15,3548,3504,45,0,0,0,0,0,0,0,0,5,0,0,1987,19,1,0,0,-0.170314932289105,-0.18462036550045,1.50466613046925,0.794346749782562,0.380855380280375,0.369822412729263,7097,0.4937297449626602,0.00634070734113,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024850894632206,0.0,0.0,0.9875745526838966,0.0094433399602385,0.0004970178926441,0.0,0.0,2018,-0.114799290895462,-0.14830949102086,1.66943933795128,0.94314980506897,0.272727092954352,0.272963225841522,31830,31819
